정지상태에서 3.8초 만에 시속 100km까지 속도를 높이 +ㄹ 수 있다 .	O O O O O O O O O O O
미국이 위대하지 않게 되+ㄴ이유로 피부색이 다르+ㄴ나+의 이웃을 지목하는 것 자체가 통합을 추구하+여오+ㄴ 미국인에게 부담스럽 ㄴ 일이다 .	ORG-B O O O O O O O O O O O ORG-B O O O O
전기협은 이에 대하+ 여『철도청과 철도노조가 합의 하+ㄴ 잠정안은 기존의 변형근로시간제를 더욱 강화하는 등 노조원들의 열망을 외면하고 있다』고 비난, 파업 강행 의사를 고수하였다 .	ORG-B O O ORG-B ORG-B O O O O O O O O O O O O O O O O O O
타히티, 레이디스코드 사고 언급“함께 출연하였는데 그날 사고+나았다 .	ORG-B ORG-B O O O O O O
지하철 8호선 복정역과 5호선 마천역을 연결하는 트램은 트랜짓몰 내에 2개 역이 지나는데, 그 중 한 개역이 ‘송파와이즈 더샵’ 바로 앞으로 운행되+ㄹ 예정이다 .	O O LOC-B O LOC-B O O O O O O O O O O O LOC-B LOC-I O O O O O
‘슈가맨’ 현승민, 이제 보니 허경환과 닮은꼴 현승민이 11년 만에 TV 무대에 모습을 드러내 +ㄴ 가운데, 허경환과 닮은꼴 비교 사진이 눈길을 끌+ㄴ다.최근 한 온라인 커뮤니티 사이트에 '슈가맨 현승민 닮은꼴'이라는 제목으로 게시물이 게재되었다. 한편, 20일 방송되+ㄴ JTBC ‘투유 프로젝트-슈가맨’ 첫 방송에는 히트곡 ‘잊었니’의 주인공 H현승민이 출연하였다.11년 만에 TV에 출연하+ㄴ 현승민은 “한 3년 전에 싱글을 하나 내+었었다”며 “지금은 금융업에 있다”고 말하였다. 그는 갑자기 활동을 중단하+ㄴ이유에 대하+여“‘잊었니’가 많은 인기를 얻어서 후속 곡을 준비하였었는데 잘 안+되었었다 .	O PER-B O O PER-B O PER-B O O O O O O O O PER-B O O O O O O O O O O PER-B O O O O O O O ORG-B O O O O O O O PER-B O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O
홍 본부장은 “사고력 수학을 표방하는 교재는 많지만, 기존 객관식 문항을 서술형으로 형식만 바꾸+어 문제를 구성하는 등 겉만 사고력 수학일 뿐 실제로는 사고력 수학과 무관하+ㄴ 교재도 많다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O
16일 대리로 승진하+ㄴ KEB하나은행 홍지원(37)씨의 사연이다 .	O O O ORG-B PER-B O O
기존보다 전기요금 납부 일 선택이 크게 확대되+ㄴ 것.하지만 전기요금 납부 일 선택 확대의 대상이 +ㄴ 사용자는 국민 ㆍ신한ㆍ 기업 ㆍ 우리은행과 농협 자동이체 고객에 한정하+ㄴ다. 또한 전기요금 청구서를 인터넷 ㆍ 휴대전화로 받고, 요금을 자동이체하고 있거나 새로 자동이체하는 고객일 필요가 있다 .	O O O O O O O O O O O O O O O O ORG-B ORG-B ORG-B O ORG-B ORG-B O O O O O O O O O O O O O O O O O O O
또 2004년 도입되+ㄴ ‘접대비 50만원 실명제’가 유명무실 하+여지면서 2009년 폐지되 +ㄴ 사실을 언급하면서 “(현실적으로) 지키+어지기 어렵ㄴ 법은 결국 바뀌게 되+어 있다”고도 +였다 .	O O O O O O O O O O O O O O O O O O O O O O O
정경호는 영화 '거북이 달리+ㄴ다'(2009), '롤러코스터'(2013)를 비롯하+여드라마 '순정에 반하다'(2015), '미씽나이+ㄴ'(2017) 등에서 다양하+ㄴ 배역의 연기를 소화하였다 .	PER-B O O O O O O O O O O O O O O
가족 모두가 바쁘고 즐겁ㄴ 하루+이었다 .	O O O O O O
이 전 장관은 “별 효과가 없는 5·24 조치 해제를 위하+여 대통령이 결심하기 어렵다면 참모들이 나서+어서 남북 교류를 확대하+ㅁ으로써 대통령의 어깨를 가볍게 하+여야 하+ㄴ다”고 말하였다 .	PER-B O O O O O O O O O PER-B O O PER-B O O O O O O O O O O O
전반 15분에 터지+ㄴ바르셀로나의 첫 번째 골로 사실상 양 팀의 운명이 가려지었다 .	O O ORG-B O O O O O O O O O
내외연은 당권과 대권, 서울시장 후보를 이 대표와 정 고문 등 각 계파를 적절히 통제하는 「분할 통치」의 지렛대로 삼아 당내 주도권을 한층 강화하려 하+ㄹ 것으로 보이+ㄴ다 .	O O O O O PER-B O PER-B O O O O O O O O O O O O O O O O PER-B O
