또 27일 한 인터넷 커뮤니티에는 ‘편의점 개진상 범정의 구현’이라는 제목의 글이 올라오아 해당 사건을 소개하기도 +였다 .	O O O O O O O O O O O O O O O O O
동학농민혁명 기념재단은 동학농민혁명 기록물을 유네스코 세계기록유산으로 등재하기 위하+여2일 오전 서울 용산역 회의실에서 추진위원회를 구성하고 이만열 전국사편찬위원장을 세계기록유산 등재 추진위 위원장으로 선출하였다 .	ORG-B ORG-I ORG-B ORG-I ORG-B ORG-B ORG-I ORG-I O LOC-B LOC-B O O O PER-B ORG-I ORG-B ORG-I ORG-I ORG-I O O
어린이대공원 사육사 서울어린이대공원의 사육사가 사자에게 물리+어 숨지는 사고가 발생하였다 .	ORG-I O ORG-B O O O O O O O
그러나 「젊은 날의 초상」「아제아 제바라아제」「서편 제」를 대종상 수상에 맞추+어 흥행시키었던 태흥영화 사이태원 사장은 『 하루 2천5백 명 이상 관객을 모으+ㄹ 수 있는 영화+이라면 영화상 수상이 약 20%의 관객 증가를 가져 오+ㄹ 수 있지 않나 추정하+ㄴ 다』고 말하고 있다 .	O O O O O O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O
3개의 블로킹으로 상무의 공격을 잘 차단하였다 .	O O PER-B O O O O
일례로 오는 17일 방한하는 렉스 틸러슬+ㄴ 미국 국무장관은 윤 장관과의 외교장관 회담에잇어 박 전 대통령 대신 황교안 대통령 권한대행 국무총리를 예방하게 되+ㄴ다 .	O O O O PER-B PER-I ORG-B O PER-B O O O PER-B O O O PER-B O O O O O O
미국그룹 블랙 아이드 피스의 윌 아이엠, 영국 가수 애드 시럽 +ㄴ, 전인권, 김준수, 씨엘, 개코 등이다 .	ORG-B ORG-B ORG-I ORG-I ORG-B ORG-I ORG-B O PER-B O O PER-B PER-B PER-B PER-B O O
구단 산하 유스팀 매탄고를 졸업하+ㄴ그는 2012년 말 우선 지명을 받고 수원의 푸르+ㄴ 유니폼을 입었다 .	O O O ORG-B O O O O O O ORG-B O O O O
26일 저녁 일본 도쿄(東京) 미나토(港) 구닛쇼홀. 우익 성향 헌법학자모 모치 아키라(百地章) 니혼대 교수가 이렇게 말하자 객석에 앉은 700여명의 청중이 힘차게 박수를 +었다 .	O O LOC-B LOC-B LOC-B LOC-B O O PER-B PER-B PER-I ORG-B O O O O O O O O O O O
미셸 여사역을 맡은 배우 티카섬터는 “영화는 두 연인이 서로를 자극하고 공감하는 과정을 매우 사실적으로 그리+ㄴ다”고 말하였다 .	PER-B O O O PER-B O O O O O O O O O O O O
23일 찾은 이곳에서는 건물 내부(99.36㎡) 공사가 한창이었다 .	O O O O O O O O
메이저리그 경력 12년의 영은 명문 아이비리그 프린스턴대학에서 농구와 야구를 동시에 한 만능 스포츠맨. NBA 새크라멘 토킹스에서도 영을 원하였으나 야구를 택하였다 .	O O O PER-B O ORG-B ORG-B O O O O O O ORG-B O O PER-B O O O O
모바일 교환권은 행사 참여 가능하나 차액 환불 및 해피포인트 적립은 불가능하다(일부 점포 제외). 한편 배스킨라빈스는 ‘이상 하+ㄴ나라의 솜사탕 블라스트’ 출시와 함께 배우 송중기가 출연하+ㄴ TVCF를 새롭게 선보이었다 .	O O O O O O O O O O O O O O ORG-B O O O O O O O PER-B O O O O O
오리아나는 기사를 예술 차원으로 끌어올리었다 .	PER-B O O O O O
