“장예원 박태환 열애설 해명, 박태환 반응은 어떻+ㄹ지 궁금하다” 등의 반응을 보이었다 .	PER-B PER-B O O PER-B O O O O O O O
▷서울시 여성능력개발원이 어제 발표 하+ㄴ여대생(500명) 설문조사에 따르면 서울에 살는 여대생 10명 중 3명은 취업의 가장 크+ㄴ장애물을 ‘인맥’이라고 답하였다 .	LOC-B O O O O O O LOC-B O O O O O O O O O O O
이런 분석은 유럽 경제위기로 사회적·경제적 약자 이+ㄴ 무슬림들이 갈수록 압박받고 있는 상황에서 설득력을 얻고 있다 .	O O ORG-B O O O O O O O O O O O O O
여관(북한상식 : 2 .	ORG-B O O O
2차 출시에 맞추+어서도 멕시코시티의 베니토 후 아레스 국제공항에서 두 제품의 이미지를 랩핑하+ㄴ에어로 멕시코 비행기를 공개하는 등 마케팅을 강화하였다 .	O O O LOC-B LOC-B O O O O O O ORG-B O O O O O LOC-B O
25년 전 시작되+ㄴ고(故) 천경 자 화백의 ‘미인도’ 진위 여부가 결국 외국인 손으로 넘어가 +았다 .	O O O O O O O O O O O O O O O
미인도 위작 여부를 수사 중 이+ㄴ 검찰은 오는 19일부터 10일간 프랑스 뤼미에르테크놀로지 연구소팀 2명을 한국으로 초청하였다 .	O O O O O O O O O O ORG-B ORG-B O O LOC-B O O
뤼미에르테크놀로지 연구소의 파스칼 꼬뜨 등 2명은 천 화백의 1970년대 작품 10여개와 미인도를 비교하+여진위 여부를 조사하+ㄴ다는 계획이다 .	ORG-B O PER-B O O O PER-B O O O O O O O O O O
영국 BBC와 미국 ABC 등 외신과 다큐멘터리에도 소개되+ㄴ이 감정팀은 3D 다중스펙트럼 카메라를 세계 최초로 개발하+여레오나르도 다빈치의 ‘모나리자’에 숨기+어지+ㄴ 비밀을 밝혀내+어 유명세를 타+았다 .	ORG-B O ORG-B O O O O O O O O O O O PER-B O O O O O O O O
감정팀은 모나리자 그림 안에 다른 여 인상이 있고, 내부에 눈썹이 숨기+어지+ㄴ점, 다빈치가 파운싱이란 도구로 스케치하였다는 것과 모나리자의 시선이 원래는 옆쪽을 향하었던 것 등을 알아내 +었다 .	O O O O O O O O O O O PER-B O O O O O O O O O O O O O O
검찰은 감정 장소로 ‘서울옥션’을 선택하었는데, 천 화백의 유가족들은 서울옥션의 이 모 대표가 1991년 미인도를 진품이라고 감정하+ㄴ위원이 +ㄴ 데다가 지나 +ㄴ 6월 천 화백의 가짜 스케치를 경매에 부치려다가짜 의혹이 제기되 +어취소되+ㄴ적이 있다며 불공정 하+ㄴ 감정이 되+ㄹ 수 있다고 반발하고 있다 .	O O O ORG-B O PER-B O O ORG-B PER-B O O O O PER-B PER-B O O O O O PER-B O O O O O PER-B O PER-B O O O PER-B O O O O O O
이에 대하+여 서울옥션 측은 "지나 +ㄴ 6월 경 매출품 예정작이었던 화첩에 대하+여미술계에서 진위 논란이 있어 해당 작품을 경매 전 출품 취소하였다"고 +였다 .	O O ORG-B O O O O O O O O O O O O O O O O O O O O
천 화백 유가족은 지나 +ㄴ 7일 ‘서울시립미술관’에서 감정을 하+여야 하+ㄴ다며 탄원서를 내+었다 .	PER-B O O O O O LOC-B O O O O O O
여기에 검찰이 감정팀 초청 비용 7500만원을 유가족과 함께 분담하자고 +였다가, 결국 모든 비용을 유가족이 떠안으면서 수사윤리 문제도 도마에 오르고 있다 .	O O O O O MNY-B O O O O O O O O O O O O O O O
미인도를 둘러싸 +ㄴ 논란은 국립현대미술관이 1991년 ‘움직이는 미술관’ 전시회 당시 소장 중이던 미인도를 공개하면서 시작되었다 .	O O O O ORG-B O O O O O O O O O O O
미인도는 79년 10.26 사태 이후 김재규 전 중앙정보부장이 소유하고 있던 것을 정부에서 압류하+ㄴ이후 1980년 문화공보부가 현대미술관이 관리하게 하+ㄴ 것으로 알려지+어 있다 .	O O O O O PER-B O O O O O O O O ORG-B ORG-B O O O O O O
그러나 당시 작품을 직접 보+ㄴ 천 화백이 “내가 그리+ㄴ 작품이 아니라 가짜”라고 주장하면서 20년 넘게 진위 논란이 이어지고 있다 .	O O O O O PER-B O O O O O O O O O O O O O O
