하지만 의대가 적성이 맞지 않아서 사법고시를 준비하려는 찰나에, 이대영 문과에 다니던 친누나가 같은 과 새내기 후배를 소개시키+어주었어요 .	O O O O O O O O ORG-B ORG-I O O O O O O O O
리더십과 조직 건강도 전문가 이+ㄴ 패트릭 렌시오니는 일반적으로 신뢰에 대하+여 ‘서로 빨리 상대의 의도를 알아차리+ㄹ 수 있는 예측 가능성’으로 오해하+ㄴ다고 지적하+ㄴ다 .	O O O O O PER-B PER-I O O O O O O O O O O O O O O O
신 부장은 “수학·과학성적에서 모두 A를 받았다고 하+여도 다른 교과 성적이 들쑥날쑥하면 과목 편애가 심하고 학교생활에 충실하지 못하였다는 인상을 주+ㄹ 수 있다”고 주의를 +었다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O
‘5·31 교육개혁 그리고 20년’ 책 내+ㄴ 안병영前교육부 장 .	O O O O O O PER-B O O
공정위, 글로벌 은행 6곳 환율조작 혐의 조 .	ORG-B O O O O O O O
‘하늘은 나+ㄹ 더러 구름이 되라하고/ 땅은 나+ㄹ 더러 바람이 되라하네…(중략) … 하늘은 나+ㄹ 더러 바람이 되라하고/산은 나+ㄹ 더러 잔돌이 되라하네.’(신경림 시 ‘목계장터’) 충북 충주를 대표하는 민속축제 이+ㄴ ‘목계별 신제’가 조선시대 수운(水運) 물류 중심지+이었던 충주시 엄정면 목계리 일원에서 23,24일 열리+ㄴ다 .	O O O O O O O O O O O O O O O O O O O PER-B O O LOC-B LOC-I O O O O O O O O O LOC-B LOC-B LOC-B O O O O
특히 이번 시즌에 출시되+ㄴ 신제품에는 소재 자체의 통기 기능과 함께 땀이 많이 배출되는 부위에 구멍을 뚫어 통기성을 극대화 하+ㄴ ‘에어패널’ 디자인을 적용하였다 .	O O O O O O O O O O O O O O O O O O O O O O O
전임자 이+ㄴ플린이 취임 전부터 미국 주재 러시아 대사와 만나 +아대러 제재 해제를 논의하였다는 사실 때문에 물러나 +ㄴ 상황에서, 외부 인사와의 비슷하+ㄴ스캔들 전력이 있는 퍼트레이어스를 트럼프가 안보보좌관으로 낙점 하+ㄹ지는 미지수이다 .	O PER-B O O LOC-B O ORG-B O O O O O O O O O O O O O O O O PER-B PER-B O O O O O
엘리엇은 심리가 끝나 +ㄴ후에도 “경찰은 내가 서+어서 운전하였다고 주장하는 데 차량에 비하+여나+의 키가 +었을 뿐”이라며 “나+ㄴ 운전 실력이 굉장히 뛰어나다”고 주장하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O
보쉬 자동차부품 애프터마켓 사업부는 장거리 운행에는 배터리, 브레이크 패드, 엔진오일 등의 점검이 각별히 필요하다고 조언 하+ㄴ다 .	ORG-B ORG-I ORG-I ORG-I O O O O O O O O O O O O O
2015 동아필리핀 영어캠프는 초3∼중 3대 상 ‘스파르타 영어캠프’와 초1∼중 3이 어머니와 함께 참가하는 ‘엄마와 함께 가족캠프’로 나뉘어 진행되+ㄴ다 .	O O O O O O O O O O O O O O O O O O O
롯데렌터카는 고객만족을 최고 가치로 정하고 차별화되+ㄴ 서비스와 혜택을 제공하고 있다 .	ORG-B O O O O O O O O O O
이외에도 지나 +ㄴ 6월 착공에 들어가 +ㄴ 24만 7749㎡ 규모, 근무인력 2000여명에 달하는 하나금융타운 내전산센터(7층 규모) 및 개발센터(16층 규모)가 오는 2016년 말 완공되고, 16만5000여㎡ 규모의 위락, 쇼핑, 레저공간을 갖추+ㄴ 신세계 복합쇼핑몰도 오는 2017년 완공되+ㄹ 예정이다 .	O O O O O O O O O O O O O ORG-B O O O O O O O O O O O O O O O LOC-B LOC-I O O O O O
이날 김소연은 수줍은 소녀 같은 제스처와 “빨리 안건~”이라는 애교 섞이 +ㄴ 재촉으로 G12를 열광하게 +였다 .	O PER-B O O O O O O O O O O ORG-B O O O
