카페 같은 독서실 꿈꾸는 우승 우 대표“프리미엄 독서실 문화리딩 브랜드 만들 +ㄹ 것 .	O O O O O O O O O O O O O O
93년 3월 12일 북한이 NPT 탈퇴 성명을 발표하+ㄴ 후준 전시상태를 선포하+ 여 북한군 내에서 긴장이 높았을 때 +이다 .	O O O ORG-B O O O O O O O O ORG-B O O O O O O
아울러 폭락세가 전망되+ㅁ에 따르 아오는 5일까지 일시 거래 중단 등 변동성에 따르+ㄴ 시장 조치 기준을 강화하+여 적용하며 공매도는 당분간 금지하기로 +였다 .	O O O O O O O O O O O O O O O O O O O O O O
‘대구창조경제혁신센터 스타기업’ 미국을 홀리 .	ORG-B O ORG-B O O
그러나 2015∼2016 시즌 챔피언에 등극해 FA 대상자 외에도 연봉 인상을 기대하는 선수들이 적지 않다 .	O O O O O O O O O O O O O O O
“쪼개기는 3회 미만으로 줄이어야” 정부와 여당은 현재 68시간 이+ㄴ주당 최대 근로시간을 60시간(특별연장근로 8시간 허용)으로 줄이는 방안을 추진 중이다 .	O O O O O O O O O O O O O O O O O O O
타이베이나 신추과학단지처럼 하이테크 개발이 잘 이루어지는 도시와 연결이 쉽기 때문이다 .	ORG-B ORG-B O O O O O O O O O
검찰은 현 전 수석과 이 회장이 2013∼2014년 수천만원을 주고받는 과정에서 일부 수상하+ㄴ거래가 있는 점을 확인 하+ 여 사실 관계를 집중 캐묻은 것으로 전하여 +지+었다 .	O O PER-B O PER-B PER-B O O O O O O O O O O O O O O O O PER-B O O
부산= 권오혁hyuk@d onga. com·강성명기 .	LOC-B PER-B O PER-B O
3NO(약물, 기다리+ㅁ, 기록), 3WAY(검증되+ㄴ 전문가그룹, 1++3 심리 서비스, 헬로스 마일만의 프로그램)를 바탕으로 전국 모든 센터에서 최상의 서비스를 받아 보+ㄹ 수 있다 .	O O O O O O O O O O O O O O O O O O O O O O
곽동구 대표는 “심리적 이+ㄴ 문제가 사회 전반적으로 이슈가 되면서 심리상담센터를 찾아오는 경우가 늘고 있다”면서 “책임감과 사명감을 갖고 사람들의 마음 건강을 위하+여 노력하겠다”고 말하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O
한국소비자원은 시판 중 이+ㄴ 12개 어린이용 승용완구를 조사하+ㄴ 결과 주주토이즈(LS-528), 클레버(AM-177), 하나토이즈(하나키즈카1), 햇살토이(아우디 A3) 제품에서 프탈레이트계가소제가 기준치 이상 검출되었다고 2일 밝히었다 .	ORG-B O O O O O O O O ORG-B ORG-B ORG-B ORG-B O O O O O O O O O
또 선암·금천영업소 중 한 군데를 통과하+여관악·사당나들목으로 진출하+ㄹ 경우 한 번만 요금을 내+ㄴ다 .	O LOC-B O O O LOC-B O O O O O O O
둘 중 한 명은 거짓 증언을 하고 있는 상황.이 교수는 10년 전부터 최씨 일가의 진료를 담당하였다 .	O O O O O O O O PER-B O O O PER-B O O O O
