이에 앞서 +어만델라 ANC 의장은 이날 총선에서 「대규모 투표 방해」가 있었다며 투표를 29일까지 연장 하+ㄹ 것을 촉구하였다 .	O O PER-B ORG-B O O O O O O O O O O O O O O
헌법재판소가 박근혜 대통령 탄핵심판 사건을 심리하+ㄴ지 두 달을 넘기면서 최종 변론기일이 점점 가시권에 들고 있다 .	ORG-B PER-B O O O O MNY-B O O O O O O O O O
‘가인하와’가인의 네 번째 미니앨범 ‘하와’(Hawwah)의 더블 타이틀곡 ‘애플’(Apple)이 KBS 방송 부적격 판정을 받아 관심을 모으았다 .	PER-B O O O O O O O ORG-B O O O O O O O
공연을 보시는 관객들은 작품이면에 숨어 있을지 모르는 진실도 머리에 떠올리+어보고, 트락슬러의 분석처럼 가엾게 희생되었을지 모르+ㄹ ‘마녀’ 카타리나에게도 한번쯤 동정을 보내+었으면 좋겠습니다 .	O O O O O O O O O O PER-B O O O O O PER-B O O O O O
남북정상회담도 「 북한의 필요」에 의하+여서 이루어 지+ㄴ 것이 +ㄴ만큼, 무산되지는 않을 것이다 .	O O ORG-B O O O O O O O O O O
예정화, 셀프주유中? 매끈하게 ‘쭉 뻗은’ 각선미 ‘어질어질’나 혼자 살+ㄴ 다 예정화 ‘나 혼자 살+ㄴ다 .	PER-B O O O O O O O O O PER-B O O O O
외교부 장관은 양복을 수선하러 백화점에 가+았고, 정권 실세는 반발하는 농민을 설득하는 대신 정부를 비난하는 서명에 가세하였다 .	ORG-B O O O O O O O O O O O O O O O O
옥수수를 체에 받치 +어찬물에 한두 번 헹구+ㄴ 뒤 조리 하+ㄴ다 .	O O O O O O O O O O O
북한이 한국 내의 지하 당 조직으로 위장하고 있는 민민전은 김일성 사망에 따르 아 한국군과 경찰에 비상경계령이 내려 지+ㄴ 사실에 대하+여서도 『초상집에 불질하는 망동』이라고 비방하었다 .	ORG-B ORG-B O O O O O O ORG-B PER-B O O O ORG-B O O O O O O O O O O O
박 의장은 다른 말없이 “그래, 잘 좀 취조하+ 여보+아”라고 말하였다 .	PER-B O O O O O O O O O O
박근혜 대통령의 국정수행 지지율이 ‘14일 임시공휴일 지정’ 등의 영향으로 반등해 40%대에 접근하+ㄴ 것으로 나타나 +았다 .	PER-B O O O O O O O O O O O O O O O
신경성 급성 췌장염.90% 이상이 암으로 전이되는 무섭ㄴ병이었다 .	O O O O O O O O
하지만 문 후보 측은 “고용정보원 인사 규정에는 해외 유학을 위하+ㄴ 휴직을 허용하고 있다”며 “우리 법원 판례에도 휴직기간을 퇴직금 산정을 위하+ㄴ 근속에 포함하고 있다”고 +였다 .	O PER-B O O ORG-B O O O O O O O O O O O O O O O O O O O O
