강원도 원주시가 2005년에 만들 +ㄴ ‘꿩돌이’도 그런 경우 +이다 .	LOC-B LOC-B O O O O O O O O
2013년 어획량(97만2000kg)에 비하+여서는 20만3000kg이 늘었지만 연평도 어민들의 기대에는 한참 미치지 못하였다 .	O O O O O LOC-B O O O O O O
『협률사패가 지나가 +ㄴ후에는 마을에서 꼭 한두 명이 없어 지었어요 .	O O O O O O O O O O
GS칼텍스는 1986년 전남 여수에 기술연구소를 설립하+ㄴ 이래, 주력 사업이 +ㄴ 정유제품의 품질 개선과 윤활유·폴리머 신제품 개발 등을 통하+여 최고 수준의 제품 경쟁력을 확보하+여+았다 .	ORG-B O LOC-B LOC-B O O O O O O O O O O O O O O O O O O O O
환경처의 정종대 토양보전과장은 『지하수는 흐름이 느리기 때문에 한번 오염되면 회복에 수백 년이 소요되는 만큼 완벽하+ㄴ 사전 관리가 요구되 +ㄴ 다』고 말하였다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O
[13일 메르스 현황] 확진자·사망자 ‘0’, 격리자는 ↓… 확진자 8일째 없어 ‘진정세’ 메르스 추가 확진자가 8일째 없는 가운데, 사망자와 퇴원자, 치료 중이+ㄴ 환자 모두 전일 대비 변동이 없는 것으로 나타나 +았다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
보건복지부 중앙메르스관리대책본부는 현재 (7월 13일 06시 기준), 메르스 확진 인원이 186명으로 전일과 동일하다고 밝히었다 .	ORG-B ORG-I O O O O O O O O O O O O O
자신의 눈물을 닦기에도 힘들 +ㄴ 복길순이 다르+ㄴ 사람에게 손수건을 건네는 장면이 7번이나 나오+ㄴ다 .	O O O O O PER-B O O O O O O O O
22일에는 닭갈비를 기다리고 있는 사진과 함께 "한국인이라면 소주 빠지+ㄹ 수 없지?" +이라는 글을 올리었다 .	O O O O O O O O O O O O O O O
평생에 한 번 있을까 말 +ㄹ까 하+ㄴ 성적이다 .	O O O O O O O O O
6-6 동점이던 9회말 2사 만루 상황에서 한화 마무리 투수권혁이 타석에 들어서 +ㄴ 것.한화가 8회말 2번 타자를 2차례 대타로 교체하고 9회 초 수비수를 다시 바꾸+ㄴ이후 더는 지명 타자로 나서 +ㄹ 선수가 없어 권혁이 2번 타자로 나서 +었기 때문이다 .	O O O O O O ORG-B O PER-B O O O ORG-B O O O O O O O O O O O O O O O O O O PER-B O O O O O O
'복면가왕' 화생방실 클레오파트라는 김연우, 반전은 없었다… "정말 홀가분 .	O PER-B PER-I PER-B O O O O O
백의 다음 한 수는 어디 이+ㄹ까.해설=김승준 9단·글=윤양섭 전문기 .	O O O O O PER-B PER-B O O
콘도르 작전은 83년 아르헨티나 군사정권이 무너지며 종료되었다 .	O O O ORG-B O O O O
콘도르 작전이 세상에 드러나 +ㄴ 것은 1992년 12월 파라과이 판사 호세 페르난데스가 한 경찰서에서 알프레도 스토로에스네르 독재 시절(54~89년) 정치범 문서를 발견하면서 +이다 .	O O O O O O O O ORG-B O PER-B PER-I O O PER-B PER-I O O O O O O O
