박지성에 밀리+어 후보+이었던 폴포그바, 세계 최고 몸값(1671억) 눈 .	PER-B O O PER-B O O MNY-B O O
이날 하니는 크루즈 승무원 ‘하승무원’으로, 시우민은 재즈바 매니저 ‘시매니저’ 역할을 맡았다 .	O PER-B O O PER-B PER-B O O PER-B O O O
하니는 시우민과 함께 피해자 유기환에 대하+ㄴ불만을 공유하며 가깝어 +지었다 .	PER-B PER-B O O PER-B O O O O O
쿱타테일러 바르샤바대 박사는 동아일보와의 인터뷰에서 “폴란드와 독일은 천주교+이라는 종교적 배경이 같고 비신스키 추기경 같은 종교인들이 적극적 이+ㄴ 화해를 주도하였다”며 “동북아에는 이 같은 문화적 공감대가 없고 경제가 나빠지+ㄹ 때 +이 면역사 수정주의가 나오기 마련이어서 폴-독과 같은 과거사화해는 쉽지 않은 상태”라고 지적하였다 .	PER-B ORG-B O ORG-B O ORG-B ORG-B ORG-B O O O PER-B O O O O O O O O O O O O O O O O O O O O O ORG-B O O O O O O O
권 대법관은 축사에서 “긴즈버그 대법관이 과거 미국 대학에서 (저의) 스승이었고 (한국) 법관 등에게 많은 영향을 +었다”고 말하였다 .	PER-B O O PER-B O O LOC-B O O O LOC-B O O O O O O O
현대중공업은 지난해 1조6419억원의 영업 흑자를 내+었고 삼성중공업의 경우 1472억원의 영업손실을 내+었지만 2015년(마이너스 1조5019억원)보다는 그 폭을 확연하게 줄이었다 .	ORG-B O MNY-B O O O ORG-B O MNY-B O O MNY-B MNY-B O O O O O
추격조로 시작하+ㄴ 박준영은 어느새 필승조로 자리 잡았다 .	O O PER-B O O O O O
혼자 숙소에 눕어 늘 잠실구장에서 던지는 상상을 +였다”며 “작년에 부진하면서 정신적으로 공부를 많이 +였다 .	O O O O LOC-B O O O O O O O O O O
장쑤쑤닝(중국), FC 도쿄(일본)와 순위 경쟁 중 이+ㄴ 전북은 승점 6점(2승 2패)에 머무르면서 조선두로 조별리그를 통과하는 것이 쉽지 않게 +었다 .	ORG-B ORG-B ORG-B O O O O ORG-B O O O O O O O O O O O O
이에 따르 아 한국에 공사로 부임하+ㄴ푸트는 국왕을 배알하는 자리에서 미국에 친선사절을 보내 +ㄹ 것을 제안하였고 여기에 고종이 쾌히 동의 하+ㅁ으로써 보빙사가 파견되+ㄴ 것이었다 .	O O O ORG-B O PER-B O O O ORG-B O O O O O O PER-B O O O O O O O
2008년 장린 부동산은 산시성 공상행정관리국 등이 개최 하+ㄴ ‘제1회 서부지역 부동산 경영포럼’에서 산시 부동산 브랜드 30강(强)에 선정되는 명예를 얻었다 .	O O O O O O O O O O O O O O O O O O O O
앱스토어에도 출시 예정이다 .	O O O O
“리니지파이팅 챔피언 쉽(LFC)” 게임 고수들이 대거 몰리+어 있다는 리니지의 분위기가 심상하지 않다 .	O O O O O O O O O O O O O
경찰청은 13일 대형 강력사건이 빈발하는 데도 범인을 제대로 검거하지 못하는 일선 지휘관에 대하+여서는 관할 지­파출소장과 경찰서장은 물론 지방경찰청장까지 직위 해제 등 문책을 단행하기로 +였다 .	O O O O O O O O O O O O O O O O O O O O O O O O O
우미건설은 ‘안성공도우미린 더 퍼스트’ 의 견본주택을 오는 20일 개관 하+ㄴ다 .	ORG-B O O O O O O O O O O
단지는 경기 안성시 공도읍 용두리 220번지 일원에 들어서며 지하 1~지상 최고 29층, 14개동, 전용면적 59~84㎡, 총 1358가구 규모+이다 .	O LOC-B LOC-B LOC-B LOC-B O O O O O O O O O O O O O O
