이후 내년 1월 6일 서울역삼동의 한 예식장에서 가족과 친지, 지인들을 초대하+여 결혼식을 올리+ㄴ다 .	O O O O LOC-B O O O O O O O O O
임창정은 지나 +ㄴ9월 일반인 여성과 교제 중이라고 인정하였다 .	PER-B O O O O O O O O
전지훈련 최대 수확을 꼽아달라는 질문에 망설이 +ㅁ 없이 신인 좌완투수 김택형(19)을 치켜세우었다 .	O O O O O O O O O O PER-B O O
대한민국을 어떻게 혁신하고 어떤 변화를 통하+여 미래를 담아내 +ㄹ 것이 +ㄴ가를 시민 청년들에게 알리는 중요하+ㄴ 선거+이라고 생각하+ㄴ다”면서도 “초반에는 광주에 네거티브, 가짜뉴스가 판을 치는 선거전이 펼쳐지었다”고 설명하였다 .	ORG-B O O O O O O O O O O O O O O O O O LOC-B O O O O O O O O
지나+ㄴ 24일 방송되+ㄴ JTBC 금토 드라마 ‘라스트’에서는 펀드매니저 장태호(윤계상)과 박민수(박혁권)가 주식을 조작하는 작전에 실패하면서 위기에 처하+ㄴ 모습이 그리 +어+지었다 .	O O O O O O O O PER-B PER-B O O O O O O O O O O
조리+ㄴ과장은 “2012년부터 불법 도박사이트를 홍보하거나 개설하+여주는 프로그래머를 포함하+여정보를 제공하는 사람도 처벌을 받도록 법이 개정되었다 .	PER-B O O O O O O O O O O O O O O
소나무재선충병 방제특별법에 따르 아직 경 2㎝ 이상이+ㄴ소나무류의 이동을 전면 제한하는 조치+이다 .	O O O O O O O O O O O O
전남도는 기존에 재선충병이 발생하+ㄴ 여수·순천·광양·무안 등 4개 시·군의 피해목은 전량 베어 내+어우드 칩과 톱밥으로 가공하+ 여자원화시키+ㄹ 방침이다 .	LOC-B O O O LOC-B O O O O O O O O O O O O O
ICT 우수 기술과 문화를 접하+ㄹ 수 있는 ‘호기심 n 사람= 미래교육’ 실 .	O O O O O O O O O O O O O
1993년 노벨문학상 수상작가 토니모리슨이 내보이는 ‘글쓰기의 비밀’이다 .	O O O PER-B O O O O
2000년대 초중반 섹시 스타이효리를 메인 모델로 내세우어 ‘이효리 청바지’ 열풍을 이끌었던 데님 브랜드에프 알제이지+ㄴ(FRJJeans)이 제2의 비상을 꿈꾸 +ㄴ다 .	O O O PER-B O O O PER-B O O O O ORG-B ORG-B O O O O O
블루 차이나 B2B 멤버십커머스 플랫폼 ‘메이메이더’하얼빈 거점 구축 중국 업체와 MOU… 한국우수상품 초기 비용 없이 중국 판매 가능 중국 e-커머스 전문 스타트업 기업 ‘블루차이나’(대표이사 구명길)는 15일 중국 ‘하얼빈 항록길 상무유한공사’(대표 페이종)와 자사 가 운영하는 한-중 B2B 멤버쉽 커머스 플랫폼 ‘메이메이더(美美的/www.mmdbox. com)’의 하얼빈 거점 구축을 위하+ㄴ MOU를 체결하였다 .	ORG-B O O O O LOC-B O O ORG-B O O LOC-B O O O ORG-B O O ORG-B O O O O ORG-B PER-B O ORG-B LOC-B O O PER-B O O O O O O O O ORG-B O LOC-B O O O O O O
