“5전승 우리은행, KB스타즈꺾는다 .	O ORG-B ORG-B O
공학2동 2층 단백질 공학실험실 .	O O O O O
보사부는 28일 「한국방문의 해」를 맞고 외국인의 출입이 잦은 관광호텔 내 부대시설의 영업시간 규제를 대폭 완화하기로 하고, 세부 지침 마련 작업에 들어가 +았다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O O
[부고]최금란 별세·김정후정은 정윤용희모 친상·최수현 장모 .	PER-B PER-B PER-B PER-B O O
이대호는 8일 미국 미주리주 캔자스시티 카우프먼스타디움에서 열리+ㄴ 캔자스시티 로열스와 원정경기에 5번 타자·1루수로 선발 출전, 3타수 1안타·1득점을 기록하였다 .	PER-B O LOC-B LOC-B ORG-B LOC-B O ORG-B ORG-I O O O O O O O O O
LG화학은 1차 협력사 위주 동반성장 활동에 머물지 않고 2차 협력회사의 경쟁력 또한 제고되+ㄹ 수 있도록 상생결제시스템을 도입하+ 여운용하는 등 지원 확대 방안을 실행하고 있다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O O O O
이런 소형 프로젝터와는 비교가 되지 않는 수준이며, 홈씨어터용 시장에서 꾸준히 팔리+ㄴ다는 벤큐 W1210ST 같은 모델이 2200안 시 루멘이라는 점을 생각하+여보+ㄴ다면 엡손 EB-U 04이 얼마나 고광도 제품이 +ㄴ지 짐작이가+ㄹ 것이다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
주며 “누나”라고 부르는 모습에 결국 하나 역시 조금씩 흔들리는 모습을 보이었다 .	O O O O O PER-B O O O O O O
특히 국내 정부기관이나 기업체 등에서 4∼16주간 현장체험을 하면 학점을 인정하+여주는 ‘현장실습 학점인증제도’는 학생들로부터 “취업과학점의 두 마리 토끼를 다잡을 수 있다”는 호평을 받고 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O
창업선도대학 선정 60억 지원 숭실대는 최근 중소기업청이 주관하는 창업선도대학으로 뽑히+어 3년간 60억원을 지원받는 등 창업교육에서도 앞서 +어가고 있다 .	O O MNY-B MNY-I ORG-B O ORG-B O O O O MNY-B MNY-I O O O O O O
김 전 원장은 2007년과 2011년에도 같은 혐의로 검찰 조사를 받고 각각 입건유예와 기소유예 처분을 받았다 .	PER-B O O O O O O O O O O O O O O O
또한 ‘이팝(ePoP)’에 탑재되 +ㄴ 20나노급 3기가 바이트(GB) 모바일 D램은 PCD램과 같은 초당 1866 메가비트의 빠르+ㄴ 속도로 동작 하+ㄴ다 .	O O O O O O O O O O O O O O O O O O O
트럼프, 내각에 軍 출신 잇달 +ㄴ 중용… 15개 부처 장관 중 9명 인 선 완 .	PER-B O O O O O O O O O O O O O O O
아우크스부르크가 12일(한국시간) 메르크 슈타디온 암뵐 렌팔 토어에서 열리+ㄴ 다름슈타트와의 2015∼2016 시즌 독일 분데스리가 26라운드 원정경기에서 2-2로 비기었다 .	ORG-B LOC-B LOC-B LOC-I LOC-I O O O O O O ORG-B ORG-I O O O O O
잇어 △임진각(파주·580만명) △킨텍스(고양·521만8000명) △서울대공원(과천·470만6000명) 등이었다 .	O LOC-B LOC-B LOC-B O O
