화성 동탄2신도시, 하남미사강변도시, 남양주 다산신도시 등지가 눈길을 끌+ㄴ다 .	LOC-B O LOC-B LOC-B O O O O O
한번 태우고 나+ㄴ 소각로는 그 열기가 쉽게 사그라지지 않기 때문에 바로 작업을 하+ㄹ 수 없다 .	O O O O O O O O O O O O O O O O
이제 한국지도자들이 상하이의 천지개벽을 직시하고 통렬하게 자성하+ㄹ 차례 +이다.테마파크 사례만이 아니다 .	O ORG-B LOC-B O O O O O O O O O
사회 구성원 모두가 연봉 얼마짜리 경력을 관리하는 것보다 아이를 키우는 경험이 백배 중요하다는 것을 알아야 하+ㅂ니다 .	O O O O O O O O O O O O O O O O O
두 사람은 영화 ‘붉은 가족’ 후반 작업과 그 후 영화 관계자들이 함께 하+ㄴ 식사 자리 등의 만남을 통하+여서 호감을 갖기 시작하+여연인으로 발전하였다. 한편 정우는 tvN ‘꽃보다 청춘’에 출연 중이다 .	O O O O O O O O O O O O O O O O O O O O O O O PER-B ORG-B O O O O O
‘진세연’ 배우 진세연이 최근 또다시 악플에 시달리+어 심각하+ㄴ 고민에 빠지었다.진세연의 소속사 측은 허위사실 유포자에 대하+여법적 수단을 동원하+ㄹ지 고민하고 있다.31일 소속사 얼리버드엔터테인먼트 측은 복수의 매체를 통하+여 “지난해 수사를 통하+여 10여명의 악플러이 법적 처벌을 받게 +었으나 이들이 중고생이라 봉사활동으로 선처+였다 .	PER-B O PER-B O O O O O O PER-B O O O O O O O O O O ORG-B O O O O O O O O O O O O O O O O O O
하+ㄴ스리랑카 재봉공은 언론 인터뷰에서 “아이비파크가 말하는 여성과 여성의 권리는 오직 외국인들에게만 적용이 되+ㄴ다”라고 꼬집었다 .	O O O O PER-B O O O O O O O O O O
매스티지는 대중을 뜻하는 ‘매스(mass)’와 고급을 의미하는 ‘프리스티지(prestige)’를 합치+ㄴ말로 매스티지 카드는 예전에는 일부 고객만 누리+ㄹ 수 있었던 혜택을 대중화 하+ㄴ 대신 연회비를 10만∼20만원 수준으로 높이 +ㄴ 카드들을 이르+ㄴ다 .	O O O O O O O O O O O O O O O O O O O O O MNY-B O O O O O O
그는 이어 “일본이 양국의 컨센서스 정신을 엄격히 준수하고 사태를 냉정히 처리하기를 희망하+ㄴ다“고 덧붙이었다. 도쿄·베이징=이정헌·신경진 특파 .	O O ORG-B O O O O O O O O O O LOC-B O O
뉴욕에 인터넷 비즈니스 부서를 설치하고, 이탈리아 밀라노 에 디자인 스튜디오를 열는 등 예전의 명성을 되찾기 위 하+여고군분투하였다. 확장 전략을 시도 하+ㄴ후 2001~2002년 매출이 잠시 늘었지만 2003년 다시 매출이 급감하며 반짝 효과에 그치었다 .	LOC-B O O O O LOC-B LOC-B O O O O O O O O O O O O O O O O O O O O O O O O O O
이 같은 출구조사 결과는 보수당과 자유민주당이 연정을 유지하기로 합의하면 과반 의석을 확보하+여재집권이 가능하+ㄹ 것이 +ㅁ을 보이어주고 있다 .	O O O O O ORG-B O O O O O O O O O O O O
그러나 IBK기업은행 리즈맥마혼의 최근 기량을 보면 그런 소리는 사라지 +ㄹ듯하다 .	O ORG-B PER-B O O O O O O O O
재판부는 “무방비 상태의 피해자를 무차별적으로 찌르어 살해하였다“며 ”아울러 범행 경위나 방법 등 죄질이 매우 좋지 않아 엄하+ㄴ 처벌이 필요하다“고 양형 사유를 설명하였다.(제주=뉴스1 .	O O O O O O O O O O O O O O O O O O O O O LOC-B O
키 160㎝ 왜소하+ㄴ 체격의 이씨는 3개월 전에, 키 185㎝건장 하+ㄴ 체격의 A씨는 15일 전에 각각 배를 타+았다 .	O O O O PER-B O O O O O O PER-B O O O O O O
