박해진 소속사 더블유엠컴퍼니 측은 20일 “박해진이 ‘치즈인 더트랩’ 남자 주인공 ‘유정’ 역할을 맡았다”며 “캐릭터 준비에 집중하고 있다”라고 전하였다 .	PER-B O ORG-B O O PER-B O O O O PER-B O O O O O O O O
‘치즈인 더트랩’은 순끼 작가의 작품으로 지나 +ㄴ 2010년부터 포털사이트 네이버 웹툰을 통하+여 연재되고 있다 .	O O PER-B O O O O O O ORG-B ORG-I O O O O
남자 주인공의 확정 소식에 여자 주인공 홍설역에서부터 유정의 어리+ㄴ 시절 친구이자 라이벌이 +ㄴ 백인 호역까지 관심이 뜨겁다 .	O O O O O O PER-B PER-B O O O O O O O O O O
이성경, 치즈인더트랩 백인 하役 확정… SNS에는 ‘그만 울어도 되+어’… 왜 .	PER-B O O O O O O O O O O
수출과 내수가 ‘쌍끌이 부진’에 시달리는 가운데 이처럼 대내외 불확실성이 가중되+어한은 이 기존에 내놓은 내년 성장률 전망치(2.8%)를 하향 조정 하+ㄹ 것이라는 관측이 커지고 있다 .	O O O O O O O O O ORG-B O O O O O O O O O O O O O O
이러하+ㄴ 난관을 이기+어내기 위하+여정현욱은 남다르+ㄴ 노력을 기울이고 있다 .	O O O PER-B O O O O O
그해 12월 학생 3명이 능력을 인정받아 현지 회사에 정식 직원으로 채용되+ㄹ 예정으로 H1 비자(학사 이상 학력으로 전문 기술 직 취업이 가능하+ㄴ 비자) 수속을 밟고 있다는 소식을 학교 측에 알리+어+오았다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
‘아빠 어디가’, ‘꽃보다 청춘’, ‘꽃보다 누나’, ‘나+의 친구의 집은 어디 이+ㄴ가’, ‘삼시세끼’까지.이 프로그램들의 공통점은? 모두 ‘여행’을 주제로 하는 예능 프로그램이다 .	O O O O O O O O O O O O O O O O O O O O O
양사는 원하는 차량을 필요하+ㄴ 시간만큼만 사용하는 기존의 카셰어링 서비스에 더 하+여, 차량 인도 및 반납 장소를 고객이 원하는 곳으로 지정 하+ㄹ 수 있는 혁신적 이+ㄴ ‘온디맨드(on-demand)형 카셰어링 서비스’를 제공하+ㅁ으로써 고객 편의를 극대화 하+ㄴ다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
한편 시크릿은 지난해 ‘아임인 러브(I’minLove)’로 활동하+ㄴ 뒤 멤버별 개인 활동을 하고 있다 .	O ORG-B O O O O O O O O O O O
‘국가적 갈등과 제해결의 모범사례.’(5월 3일 인사혁신처 설명자료) 29일 국회를 통과하+ㄴ 공무원연금 개혁안에 대하+여정부는 이같이 자평하고 있다 .	O O O O O ORG-B O O O O O O O O O O O
11일 동아일보가 한국개발연구원(KDI)과 국회 예산정책처, 국제통화기금(IMF) 등 국내외 기관이 내놓은 한국의 성장률 전망치와 고용률, 국민소득 추이 등을 분석하+ㄴ 결과 거시경제지표는 3개년 계획 전후로크+ㄴ 변화가 없는 것으로 나타나 +았다 .	O ORG-B ORG-B ORG-B ORG-I ORG-B O O O O ORG-B O O O O O O O O O O O O O O O O O O
이어 “입사 1년차에 근무일 중 20% 결근자가 사실상 존재하기 어렵다는 점에서 80% 이상 출근요건도 현실적이지 않다”고 덧붙이었다 .	O O O O O O O O O O O O O O O O O O
21일 단행되 +ㄴ 개각도 총선 출마자 정리용이라 별 감동을 주지 못하였다 .	O O O O O O O O O O O O
실제 새누리당이 차지하+ㄴ의석수는 152석으로, 한 개 방송사의 예측 범주에 듣었을 뿐이다 .	O ORG-B O O O O O O O O O O
이번에도 방송3사가 다소 차이를 보이고 있다 .	O O O O O O O
KBS는 새누리당 121~143석, 더불어민주당 101~123석, 국민의당이 34~41석을 차지하+ㄹ 것으로 예측하였다 .	ORG-B ORG-B O ORG-B O ORG-B O O O O O
MBC는 새누리당 118~136석, 더민주 107~128석, 국민의당 32~42석으로 예측하였다 .	ORG-B ORG-B O ORG-B O ORG-B O O O
SBS는 새누리당 123~147석, 더민주 97~120석, 국민의당 31~43석을 얻을 것으로 예측하였다 .	ORG-B ORG-B O ORG-B O ORG-B O O O O O
