안 전 대표는 당 지도부 제안으로 이날 연단에서기로+였다는 후문이다 .	PER-B O O O O PER-B O O O O
안 전 대표는 지나 +ㄴ 2014년 4월 새정치민주연합 공동대표로 첫 교섭단체 대표연설을 +였고, 국민의당 창당 뒤 이+ㄴ 지나 +ㄴ 2월 비교섭단체 대표 발언에잇어 지난해 6월 20대 국회 교섭단체 대표연설 마지막 주자로 나서 +ㄴ바 있어 당을 대표 하+여 본회의장에서는 것은 이번이 네 번째 +이다 .	PER-B O O O O O O ORG-B O O O O O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
(서울=뉴스1 .	LOC-B O
박봉석은 피란을 마다하고 도서관을 지키 .	PER-B O O O O O
2월 4일 제339회 국회 본희의회의록(74페이지)의 17배+이었다 .	O O O ORG-B O O O
손씨는 “이메일 주소나 휴대전화 번호를 바꾸는 것+ㄴ불가능하였다”며 “요즘 고지서를 우편으로 직접 받기보다 이메일로 받는 추세 이+ㄴ 데 금감원이 구시대적 이+ㄴ 서비스를 내놓았다”고 꼬집었다 .	PER-B O O O O O O O O O O O O O O O O ORG-B O O O O O O
이 처장은 ‘인사혁신처’ +이라는 명칭이 부끄럽지 않도록 혁신적 이+ㄴ안을 다시 만들어야 하+ㄴ다 .	PER-B O ORG-B PER-B PER-B O O O PER-B O O O O
박종선 팀장은 “묻지 말+아투자보다는 사업구조, 주가 수준 등을 따지+어 실적이 뒷받침되는 종목을 선택하+여야 하+ㄴ다”고 조언하였다 .	PER-B O O O O O O O O O O O O O O O
시 주석은 지나 +ㄴ 1월 베트남 당대회 폐막일에 응우옌 푸쫑 총서기의 재선을 축하하는 개인 명의의 축전을 보내+었으며 4월 20일에는 라울 카스트로 쿠바 공산당 제1서기의 재선을 축하하는 축전을 보내+어당 대 당 협력을 강조하였다 .	PER-B O O O O ORG-B O O O O O O O O O O O O O PER-B O ORG-B O O O O O O O O O O O
2000년대 초반 프로농구는 이미 아마추어 농구와는 다르+ㄴ나름의 기반과 틀을 형성하였기 때문이다 .	O O O O O O O O O O O O
그날 밤 군사를 이끌고 침입하+ㄴ왕규는 최지몽에게 칼을 겨누며 왕의 행방을 묻었지만 그는 끝끝내 대답하지 않았다고 하+ㄴ다 .	O O O O PER-B PER-B O O O O O O O O O O O
