메르세데스 벤츠 코리아 ㈜가 수입·판매 하+ㄴ이 차량은 엔진 핵심 기능을 제어하는 전자장치 이+ㄴ ‘ECU(ElectronicControlU nit)’에서 결함이 발견되었다 .	O O O O O O O O O O O O O O O O O O
마지막 2개 홀에서도 버디를 추가 하+ㄴ 유소연은 8개 홀에서 버디 6개를 솎아내는 집중력으로 순위를 단숨에 끌어올리었다 .	O O O O O O PER-B O O O O O O O O O O
최운정은 보기 없이 버디만 6개를 잡는 깔끔하+ㄴ경기를 +였다 .	PER-B O O O O O O O O
단지는 웰빙타운로를 통하+여서 진입 하+ㄹ 수 있고, 3면이 광교산으로 둘러싸이어 있어 쾌적하+ㄴ 전원생활을 누리+ㄹ 수 있다 .	O O O O O O O O LOC-B O O O O O O O O
상대 수비수가 적은 속공 상황에서 무리하게 3점슛을 던지는 욕심도 부리었다 .	O O O O O O O O O O O
잇어 약 13분 뒤 거의 같은 곳에서 규모 3.8의 여진이 이어지었다 .	O O O O O O O O O O O O
2015년에 114명(육군 85명, 해군 29명), 2014년에 131명(육군 107명, 해군 24명)의 군 장학생을 배출하였다 .	O O O O O O O O O O O O O O
FCA코리아는 지프 최초의 소형 스포츠 유틸리티 차량(SUV) 모델 ‘올 뉴 지 프레니게이드’를 국내에 출시하였다 .	ORG-B O O O O O O O O O O O O O O
전국 각지 대학에 재학 중 이+ㄴ 20여명의 동아리 회원을 모으아 서울 동작구 국립서울현충원에서 비석을 닦는 등 일일 봉사에 나서기 위하+ㄴ 준비 작업 때문이다 .	O O O O O O O O O O LOC-B LOC-B LOC-B O O O O O O O O O O O
리버풀 시의 매슈가는 록밴드 비틀스가 로컬밴드에서 글로벌 스타로 도약하는데 발판 역할을 하+ㄴ 전설의 캐번(Cavern) 라이브 클럽이 있어 늘 관광객의 발길이 끊이지 않는 명소+이다 .	LOC-B LOC-I LOC-B O O O O O O O O O O O O O O O O O O O O O
누적 구매 금액이 1만원 이상 2만원 미만이 +ㄴ 유저는 2천원, 2만원 이상 5만원 미만은 5천원, 5만원 이상 10만원 미만은 만원, 10만원 이상 25만원 미만은 2만5천원, 25만원 이상 50만원 미만은 6만원, 50만원 이상이면 10만원 캐쉬백이 제공되 +ㄴ다 .	O O O MNY-B O MNY-B MNY-I O O MNY-B MNY-B O O O O O O MNY-B MNY-I MNY-I MNY-B O MNY-B MNY-I MNY-B MNY-B O MNY-B MNY-I MNY-B MNY-B O MNY-B O O O O
렉서스는 지나 +ㄴ 22일부터 23일까지 2일간 성수동에 위치하+ㄴ 트레이닝센터에서 ‘렉서스 고객 서비스 기술 경진대회’를 가지었다고 27일 밝히었다 .	ORG-B O O O O O LOC-B O O ORG-B O O O O O O O O
이번 경진대회에는 렉서스 8개 딜러에서 근무하는 267명의 테크니션 및 서비스 어드바이저 중 자체 경연을 통하+여선발되+ㄴ ‘최고 서비스 고수’ 32명이 참가하+여 서비스 어드바이저, 판금, 도장, 일반 정비, 부품의 5개 부문에서 실제 고객 응대 상황을 방불하게 하는 필기 및 실기시험을 치루었다 .	O O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
