반경 2km 내에 천안고속버스터미널도 있다 .	O O O LOC-B O O
가장 넓은 공급면적 239㎡의 경우 25~28억원에 시세가 형성되+어 있다 .	O O O O O MNY-B O O O O
DVD와 블루레이의 내용이 정확히 겹치지만 함께 담기+어디스크 수가 늘어나 +ㄴ점, 80만원대(정가기준)에 이르는 높은 가격은 옥에 티다 .	O O O O O O O O O O MNY-B O O O O O O
이날 비는 밤이 되면서 점차 서쪽지방과 강원 영서, 경남 서부로 확대되 +ㄹ 것으로 보이+ㄴ다 .	O O O O O O LOC-B LOC-B LOC-B O O O O O O
프랑스의 이슬람 문화자문위원회는 당시 잡지에 대하+ㄴ 판매 금지와 함께 작가들이 무함마드 캐리커쳐를 그리는 것을 막아야 하+ㄴ다는 소송을 제기하였지만 법원에서 기각되었다 .	ORG-B ORG-B O O O O O O O O PER-B O O O O O O O O O O
오토모빌리 람보르기니 CEO 스테파노도미니 칼리는 “우라칸스파이더 및 후륜 구동 우라칸 글로벌 출시를 포함하+ㄴ 우라칸 패밀리의 전반적 이+ㄴ 성장세로 2016년 상반기 사상 최대 실적을 달성 하+ㄹ 수 있었다”며, “우라칸뿐만 아니라, 12기 통아벤타도르 모델에 대하+ㄴ 견고 하+ㄴ 수요를 기반으로 하반기에는 보 .	ORG-B O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
[콤팩트 뉴스]김석연, SK잔류군 야수 총괄코치 선임 .	O PER-B ORG-B O O O O
슈틸리케호 ‘수문장 3총사’ 누구가 기회 잡을까 .	PER-B O O O O O O
유엔 제재 결의 다음날 포 사격 참관…北“南이 여성들 납치”유엔에서  .	ORG-B O O O O O ORG-B O ORG-B O O
사당3동 지역주택조합(가칭)은 서울 동작구 사당3동155-4일 대 지역주택 아파트 조합원을 모집 중이다 .	LOC-B O LOC-B LOC-B LOC-B O O O O O O O
‘집밥백 선생’ 백종원, 짬뽕 레시피 공개… “중국집 짬뽕의 비밀은 MSG? .	O O PER-B O O O O O O O O
로비에서는 '스스로 연주하는 피아노' 공연도 진행되+ㄴ다 .	O O O O O O O
르완다 반군 휴전 합의 / 오늘 공식 성명 발 .	ORG-B O O O O O O O O O
명품 브랜드 루이비통이 서울을 포함하 +ㄴ 25개 도시를 소개하는 ‘2016 루이비통 시티가이드(Lou is VuittonCity Guide)’ 출간을 맞고 해당 콘텐츠를 모바일로 확인 가능하+ㄴ 애플리케이션을 5일 선보이+ㄴ다 .	O O ORG-B LOC-B O O O O O O ORG-B O O O O O O O O O O O O O O O
미국에서 +ㄴ 대통령을 국민이 직접 뽑지 않는다는 알고 계시었나요?야 구도 규칙을 알아야 제대로 즐기+ㄹ 수 있죠. 미 대선도 마찬가지 +이+ㅂ니다 .	LOC-B O O O O O O O O O O O O O O O LOC-B O O O O
미국의 여대 중에는 남성의 몸이라도 자신을 여성으로 인식하거나, 여성의 몸이지만 자신을 남성으로 인식하는 경우 등 ‘다양하+ㄴ 여성’의 입학을 허용하는 곳이 있는 것으로 알려지었다 .	LOC-B O O O O O O O O O O O O O O O O O O O O O O O
최 교수는 “각종 과일과 채소에서 우러나 오+ㄴ 다양하+ㄴ맛이 나트륨에 길들 +ㄴ뇌를 속이는 효과가 있다”며 “첨가물에 약 하+ㄴ 노약자나 어린이·임신부·질환자 등은 나트륨이 적고 항산화 성분이 풍부하+ㄴ집 간장을 이용하는 것+이 좋을 것”이라고 말하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
