델 UP3218K의 가격은 미화 기준 4, 999.99달러로, 약 600만원에 달하+ㄴ다 .	ORG-B O O O O O O O MNY-B O O
22일(현지시간) 자유아시아방송(RFA) 보도에 따르면 포 위원장은 지나 +ㄴ 20일 의회에서 “구제 불능(incorrigible)이+ㄴ 어리+ㄴ 김정은(littleKim)과 똘마니들(minions) 이 또 무력시위를 벌이고 있다”면서 “김정은은 테러리스트”라고 주장하였다 .	O ORG-B O O PER-B O O O O O O O O PER-B O O O O O O PER-B O O O
강수지는 2001년 치과의사와 결혼하였지만 1년여의 별거 끝에 2006년 11월 이혼, 지금까지 딸을 홀로 키우고 있다 .	PER-B O O O O O O O O O O O O O O O
시베리아·알래스카·캐나다 북부의 영구 동토층이 녹고 메탄 하이드레이트에 포획되+어 있던 온실가스 이+ㄴ 메탄이 대량으로 방출되+ㄴ다 .	LOC-B LOC-I O O O O O O O O O O O O O
초판 1만부를 찍었는데 청소년 번 역물로는 드물게 많은 발행부수다 .	O O O O O O O O O O
빅뱅의 ‘BANGBANGBANG’은 국내뿐 아니라 핀란드, 홍콩, 마카오, 말레이시아, 필리핀, 싱가포르, 대만, 태국, 베트남, 인도네시아, 브루나이 등 11개국에서 1위를 차지+이다 .	ORG-B O O O LOC-B LOC-B LOC-B LOC-B LOC-B LOC-B LOC-B LOC-B LOC-B LOC-B LOC-B O O O O O
비노 진영이 제기하+여오+ㄴ ‘문재인 책임론’도 괘념하지 않는 분위기+이다 .	O O O PER-B O O O O O
불면증은 방치하면 다른 질환으로 이어지거나 기존 질병을 크게 악화사킬 수 있을 정도로 매우 위험하+ㄴ병이라는 것.이 책은 일반인이 보기 어렵ㄴ 수면연구 논문과 자료들을 알기 쉽게 풀어놓은 것은 물론이고, 지나 +ㄴ 10년간 수면 클리닉을 통하+여신 홍범 박사가 직접 만나 +아보+ㄴ 환자들의 실제 사례와 치료방법에 대하+여서도 소개하였다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
전도연이 이 영화를 “운명으로”받아들이었던 배경에는 이런 시간의 힘도 작용하였다 .	PER-B O O O O O O O O O
박 감독과는 2000년 ‘나도 아내가 있었으면 좋겠다’까지 합하+여벌써 세 번째 만남.전도연은 “익숙하+여서 선택하+ㄴ 것+ㄴ 아니다”고 +였다 .	PER-B O O O O O O O O O PER-B O O O O O O
”영화는 고려 말, 무인의 시대가 배경이다 .	O ORG-B O O O O O
커스터마이즈는 이 전처럼 애플워치에서 화면을 꾹 누르어도 되지만, 아이폰의 크+ㄴ 화면에서 편하게 하+ㄹ 수 있다 .	O O O O O O O O O O O O O O O O
정부가 2030년까지 국내 온실가스 배출량을 전망치(BAU) 대비 37%를 줄이는 방안을 확정하+ㄴ 것도 요인이 +었다 .	O O O O O O O O O O O O O O O
