김하늘은 SBS ‘신사의 품격’ 이후 4년 만 안방극장 복귀작으로 ‘공항 가는 길’을 선택하였다 .	PER-B ORG-B O O O O O O O O O O O O
새누리당 정우택 원내대표는 3일 "대한민국의 백년대계와 국가 시스템 재설계를 위하+ㄴ 대선 전 개헌을 합의하+여야 하+ㄴ다"며 '여야 대선주자 개헌 연석회의' 구성을 제안하였다 .	ORG-B PER-B O O ORG-B O O O O O O O O O O O O O O O O O
정 원내대표는 2월 임시국회 교섭단체 대표연설에서 "개헌은 현 시점에서 정치권이 하+ㄹ 수 있는 최고의 정치개혁"이라며 "여야 대선주자들 모두가 나라와 국민을 위하 +ㄴ 애국심을 갖고 있다면 어떤 사심도 없이 대선 전 개헌에 합의 하+ㄹ 것"이라고 말하였다 .	PER-B O O O O O O O O PER-B O O O O PER-B O O O O O O O O O O O O O O O O O O O O O
그는 더불어민주당을 겨냥하+여"대통령에 당선되면 개헌하겠다는 지키지도 않을 약속을 하거나, 시간이 없어 못하+ㄴ다는 무책임하+ㄴ 자세에서 벗어나 +아야 하+ㄴ다"며 "국회의원들이 결단만 내리+ㄴ다면 개헌은 두어 달이면 이루+어 내 +ㄹ 수 있다"고 강조하였다 .	O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O
정 원내대표가 대선 전 개헌을 요구하+ㄴ 것은 탄핵 정국에서 수세에 몰리었던 분위기를 반전하고 대선 국면에서 개헌 이슈를 주도하면서 정권 재창출의 계기를 만들려는 움직임으로 보이+ㄴ다 .	PER-B O O O O O O O PER-B O O O O O O O O O PER-B O O O O O O
정 원내대표는 또 "국회와 정치권은 복합적 이+ㄴ 위기에 대하+여서만은 여와 야라는 도식적 대결을 넘어 거국적으로, 초당적으로 힘을 합치+ㄹ 때는 합치+어야만 하+ㄴ다"며 "여야 각 당에서 분야별로 최고의 전문성을 갖추+ㄴ의원을 뽑아 '초당적 정책 컨소시엄' 형태의 공동연구체를 구성하자"고 제안하였다 .	PER-B O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O PER-B O O O O O O
이어 "이 컨소시엄에서는 외교, 안보, 국제경제 등 국가적 차원의 대응과 관리가 필요하+ㄴ 현안과제를 놓고 초당적 지혜와 아이디어를 모으+ㄹ 것"이라며 "대한민국 최고 브레인과 경험자들의 자문도 받아 이 국가적 위기 속에서 우리가 선택하고 개척 하+여나가+ㄹ길을 거국적으로 모색 하+ㄹ 수 있기를 바라+ㄴ다"고 기대하였다 .	O O O O O O O O O O O O O O O O O O O ORG-B O O O O O O O O O O O O O O O O O O O O O
통상 1월은 대출비수기로 꼽히+ㄴ다 .	O O O O O
류정한, 뮤지컬 ‘레베카’ 공연 티켓 기부… 따뜻하+ㄴ나누+ㅁ 활 .	PER-B O O O O O O O O
사거리가 300km가 넘는 것으로 알려지+ㄴYJ-62는 중국 해군의 052C급 구축함에서 운용되는 것으로 알려지었다 .	O O O O O LOC-B O O O O O O O
장윤정 엄마, “도경완, 사위라고 참 어색 하+ㄴ 얘기+이+ㄴ데 부족하+ㄴ 윤정이 보듬어 주 감사 .	PER-B O PER-B O O O O O O O O O O O
‘미생시즌2’ 연재...윤태호 “시즌1과 이어지는 모습 그리+ㄴ다 .	O PER-B O O O O O
서울 남대문시장은 그의 주요 범행 장소+이었다 .	LOC-B O O O O O O
이 과정에서 김 실장과 김 수석의 ‘감정’이 쌓이어 +았고, 9일 사건의 한 배경이 되었다는 것이다 .	O O PER-B O PER-B O O O O O O O O O O O
20분의 1가격으로 전문가가 찍은 사진을 얻은 것이다 .	O O O O O O O O
