바로 ‘월드스타’ 김윤진(사진)이다 .	O O PER-B O
경찰청 지능범죄수사대는 구속기소 되+ㄴ 예비역 육군 소령 김모씨(46) 사건을 추가 수사하는 과정에서 신중 돈 전 총리실 공보실장(56)과 남모씨(42), 이모씨(42) 등 3명에 대하+ 여 변호사법 위반 혐의를 포착하+ 여이들을 구속하였다고 27일 밝히었다 .	ORG-B ORG-I O O O O O PER-B O O O O O O O O O PER-B PER-B O O O O O O O O PER-B O O O O
온라인 중앙일보 '채시라 김태욱 .	O ORG-B PER-B PER-B O
고객이 자신의 기술과 경력 목표를 입력하면 모젠탈이 만들 +ㄴ 앨고리즘이 세 명의 이름을 알리+어주+ㄴ다 .	O O O O O O PER-B O O O O O O O O
지프 브랜드는 10월 31일부터 1박2일 일정으로 경기도 가평에서 열리+ㄴ ‘2015 아이사랑캠핑’을 협찬하였다고 2일 밝히었다 .	O O O O O O LOC-B LOC-B O O O O O O O
서울문화사의 베스트베이비와 우먼센스, 그리고 여성 경제신문의 주최로 열리+ㄴ ‘2015 아이사랑캠핑부제: 할로윈 페스티벌’에는 자녀와 부모로 구성되 +ㄴ 약 200팀 1000여명이 참가하+여 즐겁ㄴ시간을 보내+었다 .	ORG-B ORG-B ORG-B O ORG-B ORG-I O O O O O O O O O O O O O O O O O
지프 브랜드는 아이와 부모가 함께 즐기+ㄴ이 번 행사를 협찬하며 정통 SUV 브랜드 지프의 최신 모델이 +ㄴ올 뉴 레니게이드를 행사장에 전시하+여 캠핑 참가자들의 많은 관심을 받았다 .	ORG-B O O O O O O O O O O O ORG-B O O O O O O O O O O O O O
‘응답하라 1988’ 류준열, 실상에서도 ‘상남자’ 포스셀카 공 .	O O PER-B O O O O O
‘인명피해’는?일본 내 미군기지 서 폭발사고 일본 가나가와현에 있는 미군기지서크+ㄴ 폭발사고가 일어나 +았다 .	LOC-B O LOC-B O O LOC-B LOC-B O LOC-B O O O O
일본 NHK방송 등은 24일 오전 0시 45분께가 나가와(神耐川) 현사가 미하라(相模原)의 미국 육군 보급기지에서 원인 불명의 폭발사고가 있었다고 전하였다 .	ORG-B ORG-B O O O O O O LOC-B LOC-I LOC-B LOC-I LOC-I O O O O O O
폭발사고가 일어나 +ㄴ 보급기지는 200헥타르(2㎢) 면적의 부지에 물품 보관이나 군용차량 수리공장 등이 들어서 +어 있으며 580여명의 인원이 근무하고 있는 것으로 알려지었다 .	O O O O O O O O O O O O O O O O O O O O O O
