선수들은 ‘얼리 워크’조에 걸리면 오전 8시30분부터 훈련을 시작하+ㄴ다 .	O O O O O O O O O
뮤오리진, 신규 캐릭터 '소환술사' 사전 등록 실 .	O O O PER-B O O O O
올 시즌 정규투어에 데뷔 하+ㄴ 신인이 다연(19)이 한국 여자 프로골프(KLPGA) 투어 S-OIL 챔피언스인 비테이셔널 첫날 코스레코드 타이 기록을 세우며 공동 선두로 나서 +었다 .	O O O O O O O ORG-B ORG-I ORG-B O O O O O PER-B O O O O O O O O
“12·12 이후 한국군 부대 「반전 쿠데타 」모의 있었다 .	O O ORG-B ORG-I O O O O O
그린트리 서귀포 호텔은 기존 제주호텔들의 획일적 이+ㄴ 설계에서 벗어나 +아관광객이 선호하는 전용 13.31∼18.88m ²소형 평형대의 특화설계가 적용되 +ㄴ 중저가 비즈니스호텔로 차별화되+ㄴ 경쟁력을 선보이+ㄹ 예정이다 .	ORG-B ORG-I ORG-I O LOC-B O O O O O O O O O O O O O O O O O O O O
일제 강제동원 한국인 사망자 정부 수습 하+ㄴ 유골 442位그치+ .	ORG-B O O O O O O O O O
중간재로 수출되지만 이를 가공하+ㄴ 생산품이 중국 내에서 소비되는 ‘사실상의 내수재’가 전체 수출품의 42.9%를 차지하였다 .	O O O O O LOC-B O O O O O O O O O
LG트윈스 한나한 퇴출 “팀에 도움이 되지 못하+여 미안하+여”… 양상문 감독 입장은?잭 한나한의 퇴출 소식이 전하+여지+어 화제를 모으았다 .	ORG-B PER-I O O O O O O PER-B O PER-B PER-I O O O O O O
유한킴벌리는 이날부터 홈페이지와 고객지원센터(080-010-3200)를 통하+여환불 신청을 받고 있다 .	ORG-B O O O O O O O O
타이틀곡 ‘조커(JOKER)’, EDM, 힙합 등이 믹스되 +ㄴ 4번 트랙 ‘아임낫’(not), 일렉트로닉 하우스 스타일의 5번 트 .	O O O O O O O O O O O O O O O O
? 사진 : 중앙포토스코틀랜드의 역사가이자 철학자 이+ㄴ 토머스 칼라일은 “목적이 없는 사람은 방향 타 없는 배와 같다”고 말하였다 .	O O O ORG-B O O O PER-B PER-I O O O O O O O O O O
동백레이크 파라곤은 중소형 위주로 구성되 +ㄴ 실속형 아파트로 평면 설계는 4베이신평면을 도입하였다 .	ORG-B ORG-I O O O O O O O O O O O
무엇보다 중국 제품의 파워가 예전 같지 않습니다 .	O ORG-B O O O O O O
텐센트는 IT놀이터 만들고, 구글은 우연하+ㄴ만 남극대 .	ORG-B O O ORG-B O O O
매킬로이는 1일(한국시간) 아랍에미리트(UAE) 두바이의 에미리츠 골프장(파72)에서 열리+ㄴ대회 최종 4라운드에서 2언더파 70타를 치+어합계 22언더파 266타의 대회 최저타 기록으로 우승하였다 .	PER-B LOC-B LOC-B LOC-B LOC-B LOC-I O O O O O O O O O O O O O
‘중국인 관광객(유커·遊客) 15만명 유치, 유커 크루즈의 인천기 항지 상품 출시.’ 유정복 인천시장이 3∼6일 중국 허난(河南)성과 상하이(上海) 시를 돌며 메르스(MERS·중동호흡기증후군) 여파로 발길을 끊은 유커 유치전을 벌이었다 .	LOC-B O O O O O LOC-B O O O PER-B LOC-B O LOC-B LOC-B LOC-B O O O O O O O O O O
