이씨가 무속 인덕에 병을 치유 하+ㄴ 후, 무속인을 깊이 따르았다는 이야기가 되+ㄴ다 .	PER-B O O O O O O O PER-B O PER-B O O
이날 방송에서 압권은 세모자가 촬영 중 휴식시간에 나누+ㄴ 대화가 그대로 공개되+ㄴ점이다 .	O O O O O O O O O O O O
김지석, 하석진·윤소희 핑크빛 기류에 분노“고춧가루 느낌 .	PER-B PER-B O O O O O
친박들과 죽느냐 살느냐의 공천 전쟁을 벌이고 있기 때문이 +ㄴ데, 그 본질은 영남권에서의 헤게모니 다툼이 +ㄹ 뿐이다 .	O O O O O O O O O O O LOC-B O O O O O
음악 프로그램이나 여타 방송 출연 없이도 1위를 차지하였다 .	O O O O O O O O O
한국에서는 명동 눈스퀘어점, 압구정점, 롯데 잠실점, 부산 신세계 센텀시티점 등 4곳에서 5일 오전 8시에 선을 보이+ㄴ다 .	LOC-B LOC-B O LOC-B LOC-B O LOC-B O O O O O O O O O O
온라인 중앙일보 jstar@j oongang. co.krH&M-발망, 콜라보 한정 .	O O O O ORG-B O O O
이 때문에 출판사들은 일단 3월 출간 예정으로 수학능력시험 대비 참고서 출판을 서두르고 있다 .	O O O O O O O O O O O O O O
새롭ㄴ기하학적 구조의 실린더 헤드 흡기라인의 적용으로 연비 효율을 개선하였으며, 2단계 터보차저와 EGR 시스템(질소산화물 저감장치), 배기가스 후 처리장치 등은 새롭ㄴ 엔진이라 하+여도 손색이 없을 만큼 기술적 이+ㄴ 진보를 통하+여엔진의 효율성 및 연비 개선 향상에 기여하+ㄴ다 .	PER-B O O O O O O O O O O O O O O O O O PER-B O O O O O O O O O O O O O O O O
막스버거(Max Burger)만 트럭버스코리아 사장은 “지난해 괄목하+ㄹ만 하+ㄴ 성장세를 기록하+ㄴ만 트럭버스코리아는 유로6 신제품 라인업을 기반으로 더 크+ㄴ도약의 발판을 마련하였다”면서, “주행 감성과 경제성이 완전하+ㄴ 조화를 이루+ㄴ 뛰어나 +ㄴ 제품력을 통하+여 차별화되+ㄴ비즈니스 솔루션 제공은 물론이고 친환경 상용차 리더십을 잇어나가+ㄹ 것“이라고 밝히었다 .	PER-B ORG-B O O O ORG-B O O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
만트럭은 독일 품질인증기관이 +ㄴ TÜV라인란드로부터 2013년, 2014년 2년 연속 경쟁사 대비 제품의 최저 결함률 인증을 획득하는 등 전 세계 상용차 시장에서 신뢰도 높은 제품력으로 정평이나 +아있는 250년 전통의 상용차 전문 브랜드이다 .	ORG-B LOC-B O O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O
FNC, 유재석 잇어 이번에 +ㄴ 노홍철·김용만과 전속계약… ‘예능왕국’ 발돋움 방송인 김용만과 노홍철이 FNC엔터테인먼트(이하 FNC)와 전속계약을 맺었다 .	ORG-B PER-B O O O PER-B O O O O PER-B PER-B ORG-B ORG-B O O O
27일 FNC 측은 공식 보도자료를 통하+여 김용만, 노홍철과의 전속계약 소식을 전하였다 .	O ORG-B O O O O PER-B PER-B O O O O
FNC는 “김용만과 노홍철이 가지+ㄴ 역량을 펼치는 것은 물론 자사가 보유 하+ㄴ 다양하+ㄴ 콘텐츠 및 제작 시스템과 최상의 시너지 효과를 내+ㄹ 수 있도록 전폭적 이+ㄴ 지원을 아끼지 않을 예정”이라고 전하였다 .	ORG-B PER-B PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O
앞서 유재석의 합류로 화제를 모으+ㄴ FNC는 김용만과 노홍철의 합류로 기존의 송은이, 정형돈, 이국주, 문세윤과 함께 탄탄하+ㄴ 예능 라인업을 구축하게 +었다 .	O PER-B O O O ORG-B PER-B PER-B O O PER-B PER-B PER-B PER-B O O O O O O O
이로써 FNC는 코스닥에 상장 하+ㄴ지 1년도 되지 않아 음반 및 공연제작, 매니지먼트, 아카데미 사업, 드라마 제작 등의 성과를 이루+어내며 종합 엔터테인먼트사로서 입지를 다지었다 .	O ORG-B ORG-B O O O O O O O O O O O O O O O O O O O O O
