한편 효민은 이날 강정호와 함께 찍은 사진을 자신의 인스타그램에 올리+어 눈길을 모으았다 .	O PER-B O PER-B O O O O O O O O O
효민은 “다 같이 식사 전 ㅎㅎㅎ. Mt.Washington”이라는 글과 함께 강정호와 나란히 서+어서 포즈를 취하+ㄴ 사진을 게재하였다 .	PER-B O O O O O O O O PER-B O O O O O O O
선호도 높은 판상형 설계는 물론 중소형 4베이 혁신평면을 통하+여환기·통풍·채광효과를 최대한 살리+ㄴ 구조에 방문객들은 높은 만족도를 보이었다 .	O O O O O O O O O O O O O O O O O
노동당 지도자 이+ㄴ 제러미 코빈도 사퇴 압력을 받고 있다 .	ORG-B O O PER-B O O O O O O
시사평론가 김용민씨는 자유한국당에서 제명을 당하자 18일 이를 철회하지 않을 시 소송에 들어가 +ㄹ 것이라고 말하였다 .	O PER-B ORG-B O O O O O O O O O O O O O
김용민씨는 이날 페이스북에 “입당 자유 없는 자유당이 어찌 민주주의 공당이라 말 하+ㄹ 수 있겠나. 혁신하+ㄴ다고 당 간판을 바꾸+ㄴ 것 같은데 이름만 바꾸+ㄴ다고 혁신이겠나” +이라며 글을 올리었다 .	PER-B O O O O O ORG-B O O O O O O O O O O O O O O O O O O O O
이어 “제명하는 명분이라며 제시하+ㄴ저+의 잘못을 보니 박근혜 당원에게 좀 더 어울리는 것 같은데, 박 당원에 대하+여서는 무슨 근거로 사면하였는지 국민은 의아하+여하+ㄴ다”고 +었다 .	O O O O O O PER-B O O O O O O PER-B O O O O O O O O O
그러면서 “자유당 경기도당의 결정은 절차적 정당성을 전혀 갖추지 못하+ㄴ 것으로써 법리에 부합하지 않음은 자명하다”고 주장하였다 .	O ORG-B O O O O O O O O O O O O O O
김씨는 “제 입당에 놀라 +ㄴ나머지 경기도당에서 실수를 범하+ㄴ 것이라 생각 하+ㄹ터+이니 월요일 아침까지 철회하기 바라+ㄴ다”며 “만약 거부 하+ㄹ시에는 2월 20일 월요일에 자유당원지위를 사수하기 위하+ㄴ법적 소송에 들어가 +ㄹ 것”이라고 밝히었다 .	PER-B O O O O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O
또 “신동욱 공화당 총재의 입당 제안에는 감사 하나, 정치는 본당에서 하+여야 하+ㄴ다는 지론을 굽히 +ㄹ 수 없음을 양해 하+여주시기 바라+ㄴ다”며 “정치는 장난이 아니다”고 덧붙이었다 .	O PER-B ORG-B O O O O O O O O O O O O O O O O O O O O O O
김씨는 이어 올리+ㄴ글에서 “2012년 19대 총선, 저 없으면 자유당이 과반 1당이 되+ㄹ 수 있었겠나” +이라며 “실제 자유당 인사들 또 그 끄나 풀 언론들도 한목소리로 제덕을 이야기하지 않았나 (이노근 동지, 이 부분에서 당신은 증언 하+여야 하+ㅂ니다 .	PER-B O O O O O O O ORG-B O O O O O O O ORG-B O O O O O O O O O O PER-B O O O O O O O O
에이미 폭행 사건, 양측 엇갈리는 주장…"남편 상습적으로 폭행" "돈 받은 적 없다 .	PER-B O O O O O O O O O O O O
거기에는 북한 측이 당장 경협에 적극적으로 나서지 않으리라는 전망이 깔리+어 있다 .	O ORG-B O O O O O O O O O O
KIA나 지완도 “대부분 수비 포지션을 선호하는 이유가 분명히 있다 .	ORG-B O O O O O O O O O
또 서울시장 출신으로 높은 인지도가 강점이+ㄴ 오세훈 최고위원이 다시 대선주자로 나서+어야 하+ㄴ다는 얘기도 나오고 있다 .	O O O O O O PER-B O O O O O O O O O
하지만 미국 시장은 쉽지 않다 .	O ORG-B O O O O
