이어 옆으로 움직이어 김일성의 오른쪽에서 한 차례씩 두 번 상체를 굽히 +어조문하였으며 이윽고 안경을 벗고 손수건으로 눈 주위를 닦기도 +였다 .	O O O PER-B O O O O O O O O O O O O O O O O O
제철 과일 리코타 치즈 샐러드는 직접 만들 +ㄴ쫀쫀 하+ㄴ 치즈도 맛있지만, 영귤 청 드레싱이 상큼하+ㅁ을 더 하+ㄴ다 .	O O O O O O O O O O O O O O O O O O
정씨는 “사고 예측을 위하 +ㄴ 빅데이터나 전자 항해 등 그동안 알지 못하였던 분야에 대하+ 여배우+ㄹ 수 있는 기회+이었다”며 “새롭ㄴ 교육이 재취업에 많은 도움이 +었다”고 말하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O
― 효진역의 김환희(14)가 특히 인상적이었다 .	O PER-B PER-B O O O
전문가들은 미국 증시의 상승세가 유지되고 ‘트럼프 노믹스’에 대하+ㄴ불확실성이 걷히면 국내 증시도 박스권 탈출을 시도 하+ㄹ 수 있다는 분석을 내놓았다 .	O ORG-B O O O O O O O O O O O O O O O O O O
‘어깨동무’와 ‘쩨쩨 하+ㄴ 로맨스’를 연출 하+ㄴ 김정훈 감독의 신작 ‘탐정: 더 비기닝’은 오는 9월 24일 추석에 개봉하+ㄹ 예정이다 .	O O O O O O PER-B O O O O O O O O O O O O
22일 마주치+ㄴ상대는 진황도에 연고 하+ㄴ 하 북화하. 세르비아 출신으로 하+ㄴ 때 한국 대표팀에 관심을 보이+ㄴ ‘명장’라도 미르 안티치(세르비아) 감독이 이끌는 하 북화하는 객관적 이+ㄴ 전력상 옌벤보다 한수 위로 평가되었다 .	O O LOC-B O O O O LOC-B O O O ORG-B ORG-I O O PER-B PER-I LOC-B O O O O O O O ORG-B O O O O
다만 이수정 경기대 범죄심리학과 교수는 “시신을 옥상 물탱크에 유기하는 등의 행동에 비추+어보면 사이코패스(반사회적인격장애)나 다중인격(해리성 정체감 장애) 증상이 동반되었을 가능성이 있다”고 평가하였다 .	O PER-B ORG-B ORG-I O O O O O O O O O O O O O O O O O O
2.정신질환 증상 꾸미+어 내 +었나 A양은 범행 사실은 시인하면서도 사건 당시에 대하+여 “꿈이+ㄴ 줄 알았다”거나 “시신을 유기하+ㄴ과정이 기억나지 않는다”는 취지의 진술을 하+ㄴ 것으로 전하여 +지+었다 .	O O O O O PER-B O O O O O O O O O O O O O O O O O O O O
3개의 우승 트로피(정규리그 1회, FA컵 2회)를 친정팀에 안기+어주+ㄴ그는 올 시즌을 마치고 미련 없이 자리를 내놓았다 .	O O O O O O O O O O O O O O O O
케냐 군경은 기숙사 4개 동 중 3개 동을 장악하였으며 나머지 1개 동에 숨은 테러범을 소탕하기 위하+ 여작전을 벌이고 있다 .	ORG-B O O O O O O O O O O O O O O O O O O O
'무기수' 홍승만 추정변사체 발견 … 발견 당시 상태는 .	O PER-B O O O O O O O
