신용회복위원회가 담보대출을 내주+ㄴ 모든 금융회사에 요청하+여서 50% 이상(금액기준) 이 동의하면 전 금융권이 일괄적으로 경매를 미루+어주+ㄴ다 .	ORG-B O O O O O O O O O O O O O O O
6 브뤼셀스프라우트와 백만송이버섯은 데치고, 감자는 껍질을 깎은 후 튀기+ㄴ다 .	O O O O O O O O O O
손 전 고문은 이날 광주 북구의 한 식당에서 자신의 싱크탱크 이+ㄴ ‘동아시아미래재단’ 관계자와 지지자 등 600여명에게 “총선의 결과를 깊이 새 기+어 국민의 분노와 좌절을 제대로 안아서 새 판을 짜는 데 앞장서+어나가 +ㄹ 것”이라고 말하였다 .	PER-B O O O LOC-B LOC-B O O O O O ORG-B O O O O O O O O O O O O O O O O O O O O O O O
기아자동차 근로자들도 소하리와 시흥 등지에 흩어 지+어 지역별로 시민홍보를 벌이었다 .	ORG-B O LOC-B LOC-B O O O O O O O
한씨는 “앞으로의 먹거리 트렌드는 간편하게 집에서 하+여먹는 간편 가정식(HMR)과 ‘3분 요리’ 같은 레토르트 식품이 양분하게 되+ㄹ 것”이라며 “호텔 음식의 가+ㄹ 방향은 ▶소중 하+ㄴ사람 ▶ 중요하+ㄴ자리 ▶가치 있는 음식 등 3가지 +이라고 보+ㄴ다”고 말하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
지나+ㄴ 21일 방송되+ㄴ MBC ‘황금어장-라디오 스타’에서 김소정은 “비평준화 고등학교에서 공부하였는데 ICU+이라는 대학에 가기 위 하+여발 명품대회에 참가하였다 .	O O O ORG-B O O PER-B O O O ORG-B O O O O O O O
1947년 영국령 홍콩 출생 1973년 홍콩의 노스코트 사범대가 정 경제학사 1977년 캐나다 웨스턴온타리오대의 학사(MD) 1978년 보건소의사로 공직 시작 1985년 싱가포르 국립대에서 보건학 석사 1991년 미국 하버드대 경영대학원 수료 1992년 홍콩 정부 위생국 차장 1994년 최초 여성 홍콩 정부 위생국장 1997년 영국 여왕으로부터 대영제국훈장(OBE) 받음 2003년 WHO의 판데믹 인플루엔자 책임자와 전염성 질환 담당 부총장 20 06년 WHO 사무총장 선출 2007년 WHO 사무총장 취임 2014년 포브스의 ‘전 세계에서 가장 영향력 있는 여성’ 30위 2015년 포브스의 ‘전 세계에서 가장 영향력 있는 여성’ 62위가 난을 구제하+여야 질병을 막는다 최근 국제사회의 보건사업과 보건정책은 단순하게 감염성 질환을 비롯하+ㄴ각종 질병에 맞서고의학적 이+ㄴ 예방사업을 하는 데서 그치지 않고 있다 .	O ORG-B ORG-B O O ORG-B ORG-B ORG-I O O O LOC-B ORG-B O O O O O O ORG-B ORG-I O O O LOC-B ORG-B ORG-I O O ORG-B ORG-I ORG-I O O O O ORG-B ORG-I ORG-I O ORG-B O O O O ORG-B O O O O O O O O O ORG-B O O O ORG-B O O O ORG-B O O O O O O O O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
토토 팬들의 건강 하+ㄴ 참여를 독려하기 위하+여 마련되+ㄴ이번 이벤트에는 베트맨에서 현재 운영 중 이+ㄴ건전화 프로그램 ‘셀프진단 평가’, ‘셀프 구매 계획’, ‘건전구매 캠페인’ 등을 통하+여참여 하+ㄹ 수 있다 .	O O O O O O O O O ORG-B O O O O O O O O O O O O O O O O O O
쇼미더머니4 한해vs 블랙넛, 최종 탈락자는 누구?'궁금증 폭발 .	O PER-B PER-B O O O O O
촉촉하고 발림성이 좋았지만 한 시간이 지나 +아도 완벽하게 밀착되지 않는 점은 아쉽었다 .	O O O O O O O O O O O O O
홍삼이나 비타민 등 건강식품 선물세트 매출은 백화점 3사와 이마트에서 전년 대비 모두 오르았다 .	O O O O O O O O ORG-B O O O O O
선희는 정치·사회에 대하+여아무런 개념과 상식을 갖고 있지 않던 인물이다 .	PER-B O O O O O O O O O
7월 16일 낮 12시 전남 광양의 한 대형마트 앞.세관 공무원 권모씨(58·6급)가 자신의 스포츠 유틸리티 차량(SUV)을 세우어 놓고 누구+이+ㄴ가를 기다리었다 .	O O O O LOC-B LOC-B O O O O PER-B O O O O O O O O O
「페리의 예봉 피하기」+이란 제목의 커버스토리는 『미국이 북한과 대결 국면에 들어가면서 모든 눈이 페리에게 집중되+어 있다 』고 전제, 『테크너 크래트 출신 이+ㄴ 페리가 대외정책 현장에 어떤 아이디어를 도입하고 있는 가』하는 질문에 대하+ㄴ 답변 형식으로 페리의 속마음을 읽어내려가+았다 .	PER-B O O O O ORG-B ORG-B O O O O O PER-B O O O O ORG-B ORG-I O O PER-B O O O O O O O O O O O PER-B O O O
모바일 시스템공학 전공의 교육과정은 크게 3가지 트랙(소프트웨어, 하드웨어, 통신·네트워크)이다 .	O O O O O O O O O O
