제트워셔 ‘EW-1211’은 1분 1400회에 달하는 단속분사 기술로 노즐에서 뿜어나오는 물줄기가 음식물 찌꺼기와 치석을 제거 하+ㄴ다 .	O O O O O O O O O O O O O O O O
옛 시장 건물의 흔적들이 고스란히 남아있는 점도 영프+이라 쟈가가지+ㄴ 특색이다 .	O O O O O O O LOC-B LOC-I O O
하지만 현재 검찰의 수사 상황을 보면 가장 먼저 구속되 +ㄴ 최순실에 대하+ㄴ 수사만 거의 완료되어 이번 주말 기소를 앞두고 있을 뿐, 대통령과 관련되었다는 의혹이 제기되 +ㄴ 안종범 전 경제수석, 정호성 전 부속비서관, 차은택 등은 현재 구속이 되어 있는 상태에서 수사가 진행 중에 있으며 대통령 관련 여부가 문제되고 있는 조원동 전 경제수석에 대하+여서는 어제 조 전 수석의 자택에 대하+ㄴ 압수수색으로 이제 막 수사가 시작되+ㄴ 상태이며 안봉근, 이재만 전 비서관들에 대 하+여서도 어제 수사가 진행되었을 뿐 이+ㅂ니다 .	O O O O O O O O O O PER-B O O O O O O O O O O O O O O O PER-B O O PER-B O O PER-B O O O O O O O O O O O O O O O PER-B O O O O PER-B O O O O O O O O O O PER-B PER-B O O O O O O O O O O
4곳의 구청장 가운데 3명(중·서·영도구)이 3선으로 내년에 물러나 +ㄹ 예정이어서 구청장의 통합건의를 쉽게 끌어내 +ㄹ 수 있다는 판단에서 +이다 .	O O O LOC-B O O O O LOC-B O O O O O O O LOC-B O O
나비족은 특이하게도 문 자 체계가 없었고 나비가 노래를 부르며 역사를 기록하였다 .	ORG-B O O O O O ORG-B O O O O O
하동군은 당일과 1박2일, 2박3일 등 다양하+ㄴ 코스를 추천하고 있다 .	LOC-B O O O O O O O O O
미국 영화배우 겸 모델 피비프라이스(42)가 난해 하+ㄴ의상을 입고 나타나 +아시선을 집중시키었다. 미국 연예매체 스플래시 뉴스는 피비프라이스가 미국 캘리포니아 주(州)버벌리 힐스의 한 스튜디오에서 팝 아티스트 샘이 브라힘 등과 함께 사진을 촬영하였다고 3일(이하 현지시간) 보도하였다. 공개되+ㄴ 사진 속 피비프라이스는 속옷과 속살이 다 비치는 흰색 의상을 입은 채 카메라를 응시하며 포즈를 취하고 있다. 피비프라이스는 평소 독특하+ㄴ패션으로 파파 라치들에게 인기가 높은 배우 중 한 명이다. 동아닷컴 디지털 뉴스팀 기사 제보 dnews@donga. com 피비프라이스 사진 더 보기 ▶ http://global. donga. com/View?no=2899 .	LOC-B O O O PER-B O O O O O O LOC-B O O O PER-B LOC-B LOC-I LOC-I O O O O O PER-B O O O O O O O O O O O PER-B O O O O O O O O O O O O O PER-B O O O O O O O O O O ORG-B ORG-I ORG-I O O O O PER-B O O O O O O O O
그리 하+여도 국민의당은 탈당 의원들이 절대 다수+이어서 총선은 힘들다 .	O O ORG-B ORG-I ORG-I O O O O O
[박태균의 푸드&헬스] 못생기+어도 몸에 +ㄴ 좋아… 대장 깨끗이 하+여주는 미역 .	O O O O O O O O O O O
일본·중국 산둥성 노선은 10달러에서 3달러로 하락 하+ㄴ다. 국내선 유류할증료는 8800원에서 4400원으로 50% 인하 하+ㄹ 계획이다. 한편 2월 항공유류할증료는 지난해 12월 16일부터 올해 1월 15일까지 싱가포르 국제석유시장에서 거래되+ㄴ 항공유 평균가격을 기준으로 책정되+ㄴ다 .	ORG-B ORG-I O MNY-B MNY-B O O O O MNY-B MNY-B O O O O O O O O O O O O O LOC-B O O O O O O O
홀링워스는 1911년 영국 레스터의 중산층 가정에서 태어나 +아1939년 8월 영국 데일리텔레그래프의 정식기자가 +었다 .	PER-B O ORG-B LOC-B O O O O O ORG-B ORG-I O O O
호찌민의 어학원 ‘테그 인터내셔널 칼리지’에서 2개월간 베트남어 연수를 위하+여서 +이다 .	PER-B O ORG-B ORG-I ORG-I O O O O O O
앞서 작년 가을에도 YG는 ‘쇼미더머니4’에 출연하였던 래퍼원을 데려가 +았고, ‘양화대교’로 많은 팬을 가지+ㄴ자이언티는 현 소속사 아메바 컬쳐와 계약이 끝나는 대로 YG가 설립을 준비 중 이+ㄴ 또 다른 레이블로 옮기+어가+ㄴ다 .	O O O ORG-B O O PER-B O O O O O PER-B O O ORG-B ORG-I O O O ORG-B O O O O O O O O O
이들을 위하+여시가 책정 하+ㄴ올해 진료비 예산은 6200억원.이는 시 특별회계 예산의 39.7%를 차지하고 있다 .	O O O O O O MNY-B O O O O O O O
HMC투자증권은 올해도 지난해와 마찬가지로 글로벌 증시 변동성이 높을 것으로 보고, 변동성에 대응하+ㄹ 수 있는 상품을 투자 대안으로 꼽았다 .	ORG-B O O O O O O O O O O O O O O O O O O
사진기자의 조언 흔하지 않은 풍경 사진을 찍고 싶다면 일출이나 일몰 사진에 도전하+ 여보자. 몇 가지 사항만 숙지하+ㄴ다면 멋지+ㄴ 풍경 사진을 담아내 +ㄹ 수 있다.1시 정거리(물체나 빛이 선명하게 보이는 거리) 확인은 필수!시정거리가 25km 이상이면 멀+ㄴ 곳까지 선명하게 보이+ㄴ다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
