기존 확진자 중 4번째(여, 46세), 12번째(여, 49세) 확진자 등 2명이 6.16일 퇴원하여 전체 퇴원자는 19명으로 늘어나 +았다 .	O O O O O O O O O O O O O O O O O O
이들은 항생제 및 항바이러스제 투여, 대증요법 등을 통하+ㄴ 치료를 받아 +오았고, 발열 등 호흡기 증상이 호전되어 2차례 메르스 검사를 실시하+ㄴ 결과 모두 음성으로 나타나 +아완치 판정을 받았다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
현재까지 퇴원자 총 19명 중 남성은 11명(58%), 여성은 8명(42%)으로 나타나 +았으며, 연령별로는 40대 10명(53%), 50대 3명(16%), 20대, 60대, 70대가 각각 2명(11%)으로 집계되었다 .	O O O O O O O O O O O O O O O O O O O O O O O
확진자 162명을 감염 유형별로 분류하+여보면, 병원을 내원 하+ㄴ 환자가 76명(47%)으로 가장 많았고, 환자 가족이나 가족 이외의 문병 등 방문객이 58명(36%), 의료진 등 병원 관련 종사자가 28명(17%)으로 각각 뒤를 잇었다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
확진자들의 성별은 남성이 99명(61%), 여성이 63명(39%)이었으며, 연령은 50대와 60대가 각각 33명(20%)으로 가장 많았고, 40대 30명(19%), 70대 26명(16%), 30대 23명(14%) 등의 순이었다 .	O O O O O O O O O O O O O O O O O O O O O O
한편 6.17일 06시 현재, 격리 중 이+ㄴ 사람은 총 6,508명으로 전날보다 922명(17%) 늘었고, 격리가 해제되 +ㄴ사람은 총 3,951명으로 전일 대비 446명(13%) 증가 하였다 .	O O O O O O O O O O O O O O O O O O O O O O O O
전체 격리자(6,508명) 중 자가 격리자는 5,910명으로 전날에 비하+여 672명(13%) 늘었으며, 병원 격리자는 전날보다 250명(72%) 늘어나 +ㄴ 598명으로 집계되었다 .	O O O O O O O O O O O O O O O O O O O
대한야구협회(KBA) 관리위원회가 12일 서울 올림픽파크텔 3층 대한체육회 회의실에서 ‘야구 발전토론회’를 개최하였다 .	ORG-B O O LOC-B LOC-I O LOC-B LOC-I O O O O
실제 올해 졸업생 중 9명이 미국 워싱턴에 있는 ‘프로텍덴탈 스튜디오’와 ‘크리스탈 덴탈 디자인’ 같은 기업형 치과기공소에 취업하였다 .	O O O O O LOC-B LOC-I O ORG-B ORG-I ORG-B ORG-I ORG-I O O O O O
이에 따르 아이 부회장의 삼성전자 배당금은 231억1108만원이다 .	PER-B O PER-B O ORG-B O MNY-B O
동서울터미널은 현재 지하 5~지상 40층 규모의 현대화 사업이 추진 중이라 향후 구의 파라곤의 가치 상승도 기대하+ㄹ 수 있다 .	LOC-B O O O O O O O O O O ORG-B ORG-I O O O O O O
구의 파라곤 의 견본주택은 광진경찰서와 건국사 대부속중학교 사이에 마련되었다 .	ORG-B ORG-I ORG-I O ORG-B ORG-B ORG-I O O O
안산병원은 개원 30주년 슬로건이 +ㄴ ‘행복의 가치, 나누+ㅁ의 가치, 지역주민과 같이’에 맞게 개원 30주년 행사를 환자와 지역주민과 함께 하+ㄴ다 .	ORG-B O O O O O O O O O O O O O O O O O O O
토론이 시작되기 전 미 언론들은 정치관록을 앞세우+ㄴ클린턴과 리얼리티 TV 쇼 진행자로 방송 경험이 풍부하+ㄴ 트럼프의 토론을 앞두고 백중세가 펼쳐 지+ㄹ 것이라는 관측을 내놓았다 .	O O O ORG-B O O PER-B O O O O O O O PER-B O O O O O O O O O
우리나라 주요 강하구 일대에서 소수 개체가 월동하는 것으로 알려지+ㄴ 겨울철 새 민물가마우지 100여 쌍이 내륙지역이+ㄴ 충북 영동군의 한 저수지에서 번식하는 것으로 확인되었다 .	O O O O O O O O O O O O O O O LOC-B LOC-B O O O O O O
