주성하zsh75@d onga. com·이세형기 .	PER-B O PER-B O
이중 화상을 입은 21명은 인근 병원으로 후송되+어치료를 받고 있으나 생명에는 지장이 없는 것으로 전하여 +지+었다 .	O O O O O O O O O O O O O O O O
중앙통신은 목격자 증인을 인용하+여열차가 불에 휩싸이기 전 크+ㄴ 폭음이 들리었다고 전하였다 .	ORG-B O O O O O O O O O O O
한편, 한국마케팅아카데미는 카페, 지식인, 페이스북, 카카오, 인스타그램 등 다양하+ㄴ 마케팅 도구를 바탕으로 온라인 마케팅 전문교육을 제공하고 있다 .	O ORG-B O O O O O O O O O O O O O O O O
SM6dCi에 장착되+ㄴ1.5dCi(DirectCommon-railInjection) 엔진은 최고 출력 110마력, 최대 토크 25.5kg.m, 복합공인 연비 17.0km/ℓ(16&17인치타이어 기준)의 성능을 발휘하+ㄴ다 .	O O O O O O O O O O O O O O O O
2년700만달러의 계약금은 전액 김현수에게 지급하+여야 하+ㄴ다 .	MNY-B O O PER-B O O O
미국 등 선진시장에서도 이후에 정부가 규제 완화에 나서 +었다 .	ORG-B O O O O O O O O O
국내에서도 판매 중 이+ㄴ 임팔라가 바로 그 차다 .	O O O O O O O O O
‘아름답ㄴ 동행’은 2007년 ‘정신분열증병 명 개정을 위하 +ㄴ 서명서’를 의료계에 보내+었고, 4년에 걸치+ㄴ 노력 끝에 ‘조현병’으로 개칭하였다 .	ORG-B ORG-I O O O O O O O O O O O O O O O O
경기력 향상위원회는 24명의 대표 선수 예비명단을 확정하고 사령탑 후보로 유재학(모비스), 유도훈(전자랜드) 감독을 결정하였다 .	ORG-B ORG-I O O O O O O O ORG-B ORG-B O O O
2009년 시작되+ㄴ 오바마 행정부는 지구 온난화와 우주탐사, 보건의료 등의 과제를 해결하기 위하+여과학기술 혁신전략을 펼치+어+오았다 .	O O ORG-B ORG-I O O O O O O O O O O O
이에 따르 아현시점에 계약하는 소비자는 차량이 출고되+ㄹ 때까지 1~2개월가량 기다리+어야 하+ㄹ 것으로 내다보았다 .	O O O O O O O O O O O O O O
디트로이트 타이거스의 미겔카 브레라는 베네수엘라 출신이며, 호세 아브레우(시카고 화이트 삭스)는 쿠바에서 망명하였다 .	ORG-B ORG-I PER-B O LOC-B O PER-B ORG-B O O LOC-B O O
