양효진 20득점…현대건설, 4년 만에 챔프 전 진 .	PER-B ORG-B O O O O O O
남들은 도수 내리는데 맥캘란 40도 새 제품 내놓+ .	O O O ORG-B O O O O O
우씨는 8월 중순 한 재한 중국인 인터넷 커뮤니티에 자신의 억울하+ㅁ과 실망감을 담은 글을 올리었다 .	PER-B O O O O O O O O O O O O O O
여기에다 중국이 아시아 인프라 투자은행(AIIB) 부총재직 신규 공모 발표를 사드 배치 결정 시기에 맞추+어 하+ㄴ 것을 ‘중국이 한국에 보내+ㄴ 메시지’로 해석하는 이도 적지 않다 .	O ORG-B O O ORG-B O O O O O O O O O O O ORG-B ORG-B O O O O O O O
7월 4일 적탱크 20여대와 5000여명에 달하는 북한군의 남진을 막기 위 하+ 여출격하였다 .	O O O O O O ORG-B O O O O O O
임성호 종로학원 하늘교육 대표는 “서울대 합격생을 보면 지역균형은 내신 1등급 초반, 일반전형도 최소 2~3등급은 되+어야 합격 하+ㄴ 것으로 나타나 +았다”며 “내신이 주요 대학 학종의 핵심으로 떠오르았다”고 분석하였다 .	PER-B ORG-B O O ORG-B O O O O O O O O O O O O O O O O O O O O O O O
LG전자는 16일 서울 여의도 트윈타워에서 신제품 발표회를 열고 휘센 듀얼 에어컨을 비롯하+여 총 29종의 에어컨 신제품을 공개하였다 .	ORG-B O LOC-B LOC-B O O O O ORG-B O O O O O O O O O
그가 남기+ㄴ보석 같은 데뷔 음반이 자유작이 되+ㄴ 1집 ‘사랑하기 때문에’를 천천히 곱씹을 수도 있고, 2014년 리마스터링으로 한층 생생하게 돌아오+ㄴ그의 목소리를 즐기+ㄹ 수도 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O
지정기록물로 정하+여지면 보호기간은 15년 범위 이내에서 정하+ㄹ 수 있지만 개인 사생활과 관련되 +ㄴ 기록물은 30년 이내까지 범위가 길어지+ㄴ다 .	O O O O O O O O O O O O O O O O O O O
인도 뉴델리, ‘노상응가’ 시민 단속… ‘청결안내원’ 도 .	LOC-B LOC-B O O O O O O
필기전형은 NCS 직업기초능력평가 및 직무수행능력평가를 실시하+ㄴ다 .	O O O O O O O
연비는 유럽 기준으로 30.3km/l, 이산화탄소 배출량은 77g/km(이 수치는 EU의 플러그인 하이브리드 차량 테스트 기준이며, 타이어 포맷 등 세부 조건에 따르 아결과가 달라 지+ㄹ 수 있음)이다 .	O O O O O O O O ORG-B O O O O O O O O O O O O O O O O O
이 과정에서 남상미는 첫 번째가 아니+ㄴ 수정되+ㄴ 시놉 시스를 받아 보+았고, 크+ㄴ이견 없이 출연을 결정하였다 .	O O PER-B O O O O O O O O O O O O O
50년 전 제너럴모터스(GM) 근로자는 현재 화폐가치로 시간당 50달러를 벌었지만 현재 월마트 직원은 시간당 8달러를 받는다 .	MNY-B O ORG-B O O O O MNY-B O O ORG-B O O MNY-B O O
설 연휴, 나라를 살리+ㄹ 시민정신이 무엇이 +ㄴ지 고민하고 토론하는 시간이 되었으면 좋겠습니다 .	O O O O O O O O O O O O O
매일 한강에서 물 4만t을 끌어오는 청계천의 자연성 복원을 위하+여서는 “중학천의 복개를 벗기+어내고 물길부터 잇어야 하+ㄴ다”는 주장이 나 오+ㄴ다 .	O LOC-B O O O O O O O O O O O O O O O O O
당초 10-20대 젊은층 대상이었던 이랜드의 ‘티니위니’는 30-40대까지 고객층을 넓히고 있다 .	O O O O ORG-B O O O O O O
