알파고가지고 있을 때 이상 하+ㄴ 수를 놓는 상황과 비슷하다”고 백 대표는 말하였다. 백 대표는 DIB의 신뢰도를 높이는 것이 가장 중요하+ㄴ일이라고 판단하+ㄴ다 .	O O O O O O O O O PER-B O O PER-B O O O O O O O O O
서청원·최경환·이정현·윤상현 등은 결사적으로 탄핵을 막고, 새누리당 당권도 최대한 유지하려는 전략을 짜고 있다 .	PER-B O O O O ORG-B O O O O O O O
권씨는 “달리 +어서, 사람을 만나 +아서 좋다”고 말하였다 .	PER-B O O O O O O O O
검찰 공소장에는 박창진 사무장이 조 전 부사장에게 “이미 비행기가 활주로로 들어서기 시작하+여비행기를 세우+ㄹ 수 없다”고 +였으나 조현아 전 부사장이 “상관없어, 니가나한테 대들어, 어디다 대고 말대꾸+ 이야”라고 서너 차례 말 하+ㄴ 것으로 작성되+어 있다.‘조현아 오늘 첫 공판’ 소식을 접하+ㄴ네티즌들은 “조현아 오늘 첫 공판, 드디어 첫 공판이구나”, “조현아 오늘 첫 공판, 국민적 공분을 산 사건이 +ㄴ 만큼 제대로 처벌받을 수 있는 판결이 나오기+ ㄹ바라+ㅂ니다” .	O O PER-B PER-B PER-B O O PER-B O O O O O O O O PER-B O PER-B O O O O O O PER-B O O O O O O PER-B O O O O O PER-B O O O O O PER-B PER-B O O O O O O PER-B O O O O O O PER-B O O O
오바마 대통령은 “희생자들이 일생을 통하+여보이어 주+ㄴ 노력과 가치를 이제 우리가 계승 하+여야 하+ㄴ다 .	PER-B O O O O O O O O O O O O O
군 소식통에 따르면 최근 국방부에서 열리+ㄴ 육군 모 부대 소속 A 중령의 성군기(性軍紀) 위반 사건에 대하+ㄴ 항고심에서 심사위원들은 계급 강등 징계처분에 문제가 없다고 결론을 내리었다 .	O O O O ORG-B O O O O O PER-B O O O O O O O O O O O O O O O
홍준표 후보도 전술핵 도입, 해병대 특전사령부 창설 등을 주장하였다 .	PER-B O O O ORG-B O O O O O
인터뷰에 앞서 +어비공개 하+ㄹ터+이니 한 가지를 솔직하게 답하+여달라고 부탁하였다 .	O O O O O O O O O O
이제 겨우 시작 단계에 들어서 +ㄴ동독의 경제체제를 선진적 이+ㄴ 서독의 경제체제에 억지로 맞추려는 완벽주의적 이+ㄴ법적 조치들이 문제+이다 .	O O O O O O O O O ORG-B O O O O O O O O
이와 함께 복합리조트가 국가적 프로젝트로 떠오르+ㄴ 지금, 강원랜드가 축적하+ㄴ 경험과 맨파워, 중독 문제 해결에 들이+ㄴ 노력이 복합리조트의 사회적 비용 유발을 예방하는 데 유용하+ㄴ자산이라는 의견도 있다 .	O O O O O O O ORG-B O O O O O O O O O O O O O O O O O O
다음은 이 최고위원과의 문자메시지 문답.-특위에 임하는 각오가 있다면.“ 개혁을 성공시키기 위하+ 여 최선을 다 하+ㄹ 생각이다. .	ORG-B PER-B O O O O O O O O O O O O O PER-B O
한국메이저리거 ‘기지개’ …류현진·오승환·강정호 본격훈련 돌 .	LOC-B O PER-B O O O
