김수한 고려대 사회학과 교수는 “현대사회는 사람에게 ‘완벽’을 요구하+ㄴ다 .	PER-B ORG-B O O O O O O O
▷트럼프가 강력 하+ㄴ 미국의 부활을 기대하는 공화당 유권자들과 백인 주류 계층을 노리+ㄴ 정책을 내세우어 인기를 얻고 있다는 분석이 있기는 하다 .	PER-B O O ORG-B O O ORG-B O O O O O O O O O O O O O O
그 이후로도 두어 번 더 점심을 먹을 기회가 있었는데 뵈+ㄹ 때마다 기합 소리의 음량은 줄고 있었지만 대신 마음의 여유가 커지는 모습이 ‘참 멋지+ㄴ 노후’+이라는 생각을 갖게 +였다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이에 조영남은 “마음이 있느냐.사귀어 보+ㄹ터+이냐”고 질문하였고, 규현은 “방송 끝나고”라고 기쁘+ㄴ 모습을 보이어 눈길을 모으았다 .	O PER-B O O O O PER-B O O O O O O O O
KIA로부터 외면받은 강정호에게 손을 내밀+ㄴ 구단은 넥센의 전신이 +ㄴ 현대유니콘스+이었다 .	ORG-B O PER-B O O O ORG-B O O ORG-B O
굴지의 여행사 모두투어 네트워크의 자회사 이+ㄴ㈜ 모두 스테이는 호텔 전문 운영회사로서 ‘스타즈 호텔 김포’의 운영을 맡아 체계적이고 전문적 이+ㄴ 호텔 운영을 선보이+ㄹ 예정이다 .	O O ORG-B ORG-I O ORG-B ORG-I ORG-I ORG-I O O ORG-B ORG-I ORG-I O O O O O O O O O O
대구 수돗물 취수원을 구미 낙동강 상류 쪽으로 이전하는 문제가 10년 가까이 진전이 없는 사례에서 대구시는 교훈을 찾는 것+이 필요하다 .	LOC-B O O LOC-B LOC-B O O O O O O O O O LOC-B O O O O O
대구디지털산업진흥원이 운영하+ㄴ다 .	ORG-B O O
파리바게뜨가 ‘2015 한국 산업의 브랜드 파워(K-BPI) 골든브랜드’ 베이커리 부문 1위를 차지하였다 .	ORG-B O O O O O O O O O O O
오메가 시계의 가죽 부분 안쪽에서 문씨의 DNA가 다량 검출되+어수사에 활용되었다고 하+ㄴ다 .	ORG-B O O O O PER-B O O O O O O
지난해 노동과 스커드-ER 미사일을 발사하+ㄹ 때도 거의 비슷하+ㄴ 시간대에 발사를 하+ㄴ적이 있다고 군은 밝히었다고 각 발사와 관련 하+ 여군은 탄도미사일 사거리가 1000km 이+ㄹ 경우 고도는 사거리의 3분의 1에서 4분의 1 정도로 판단되+ㄴ다고 설명하였다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
가격은 5만5000~79만원이며 풍산화동양행과 NH농협은행 등에서 구매가 가능하다 .	O MNY-B ORG-B ORG-B O O O O
선언문은 “북한의 1월 6일 핵실험과 2월 7일, 3월 10일, 3월 18일 탄도미사일 발사를 가장 강력 하+ㄴ 용어로 규탄 하+ㄴ다”며 “북한의 거듭 되+ㄴ도발로 악화되는 안보환경이 핵무기 폐기 노력을 어렵게 하+ㄴ다”고 밝히었다 .	O ORG-B O O O O O O O O O O O O O O O O O ORG-B O O O O O O O O O O O
그는 일본에서 데뷔 음반 ‘TheGateofD reams’를 내+ㄴ날, (1996년) 11월 4일을 맞아 다음달 3∼5일 서울 국립극장 해오름극장에서 20주년 콘서트 ‘유토피아(UTOPIA)’를 열 +ㄴ다 .	O ORG-B O O O O O O O O O O O LOC-B LOC-I LOC-I O O O O O O
