해커 ‘시즌2승’에이스 본색 … NC2연패 탈 .	PER-B O O O ORG-B O O
13~14일 의정부 민락2지구에서 나오+ㄴ 점포 겸용 용지는 최고 1352대1, 평균 350대 1의 경쟁률을 기록하였다 .	O LOC-B LOC-I O O O O O O O O O O O O
▷노무현 정부 초대 법무부 장관이었던 강금실 전 장관은 이임식에서 “진짜 하고 싶은 말은 못하고 떠나는 것+이 이별”이라고 말 하+여여운을 남기었다 .	O O O ORG-B O PER-B O O O O O O O O O O O O O O O
노소영 “남편 최태원은 피해자, 이혼 없다 .	PER-B O PER-B O O O O
이에 장윤정은 쑥스럽 ㄴ듯 “앞으로 자주 연락 드리겠습니다 .	O PER-B O O O O O O O
그러던 중 행동대장 유 모씨(39)가 이씨에게 조직 내 반대파를 공격하라고 지시하였다 .	O O O O O PER-B O O O O O O
KBO는 엿가락처럼 늘어지는 경기 시간을 줄이기 위 하+여올 시즌5가지 ‘스피드업’ 규정을 마련하+여스프링캠프부터 적용하고 있다 .	ORG-B O O O O O O O O O O O O O O
또한 코웨이가 8월 초 출시하+ㄴ ‘스스로 살균 정수기 IoC are’는 우리 집 물 사용량을 분석하+여 맞춤 살균주기를 알리+어주+ㅁ에 따르 아보다 위생적이+ㄴ 관리가 가능하여 +지+었다 .	O ORG-B O O O O O O O O O O O O O O O O O O O O O O O
게다가 찰리(4승 5패, 평균 자책점 5.74)와 이재학(1승 2패, 3.69)의 부진, 마무리 김진성(종아리 부상)과 셋업맨 원종현(대장암)의 이탈은 전혀 예상하지 못하+ㄴ일이었다 .	O PER-B O O O O PER-B O O O O PER-B O O PER-B O O O O O
대피소는 대체로 금요일과 토요일에 +ㄴ 예약이 꽉 차지만 주중에 +ㄴ한 산하다 .	O O O O O O O O O O O O
경기도 양평에서 +았다는 주현성(61)씨도 그 중 한 명이었다 .	LOC-B LOC-I O PER-B O O O O O
제일병원은 난임, 여성암 등 여성질환을 특화하+여 매년 2만5000여명의 외국인 환자를 유치하고 있어 병원을 찾은 환자들을 위하+여정 기적으로 다양하+ㄴ 이벤트를 개최하고 있다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O
바이올린(김여진), 첼로(백유선), 기타(안형수), 퍼커션(김성광)로맨틱 앙상블로 꾸미+ㄴ ‘러브콘서트’는 제일병원에서 치료받고 있는 외국인 환자와 가족, 직원 150여명을 초청하+여 1시간 30분 동안 다양하+ㄴ 음악을 선물하였다 .	PER-B PER-B PER-B PER-B O O O ORG-B O O O O O O O O O O O O O O O
