예를 들어 전기차의 생명이 +ㄴ 배터리 부문의 세계적 기업 LG화학과 삼성SDI가 수혜를 보는 방식이다 .	O O O O O O O O O ORG-B ORG-B O O O O
[인천/경기] 인천공항 환승객 대상 ‘맞춤형 의료관광’ 뜨+ㄴ .	LOC-B LOC-B O O O O O O
경찰대학 5기 출신 이+ㄴ조 대장은 지나 +ㄴ 12일 대구 수성경찰서에서 근무하다가 자원 하+여울릉 경비대장이 +었다 .	ORG-B O O PER-B O O O O ORG-B ORG-B O O O O O O
트럼프는 “롬니는 4년 전 이+ㄴ 2012년 대선 때 나+에게 지지하+여달라고 애걸 복걸하였다”며 “4년 전에 나는 롬니에게 무릎을 꿇으라고 하+ㄹ 수 있었고 그는 무릎을 꿇을 수도 있었다”이라고 비아냥거리었다 .	PER-B PER-B O O O O O O O O O O O O O PER-B O O O O O O O O O O O O
이어 “롬니는 이번 대선에 출마하려다가 내가 무섭어 출마 계획을 접었다”며 “그는 경량급이자 덩치만 크+ㄴ 겁쟁이”라고 지적 하+ㄴ 뒤 “그는 대통령이 되+ㄹ만 하+ㄴ 자질을 갖추지 못하였다”고 주장하였다 .	O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O
21일 청와대 국정감사에서 대통령 연설문 수정 등 최순실 씨의 국정개입 의혹을 “봉건시대에도 있을 수 없는 일”이라고 부인 하+여위 증 비판을 받기도 +였던 이 실장은 이날 부분 출석만 하+ㄴ 뒤 청와대로 돌아가겠다는 뜻을 밝히었다 .	O ORG-B O O O O O PER-B O O O O O O O PER-B O O O O O O PER-B O PER-B O O O O ORG-B O O O O
2016 리우데자네이루 올림픽에서도 한국 양궁은 금메달 독식에 도전하+ㄴ다 .	O O O ORG-B O O O O O
이인제 표노동개혁은 ‘당·청 간 공조를 통하+ㄴ 속도전’의 양상을 띠+ㄹ 가능성이 크다 .	PER-B O O O O O O O O O O O
호소카와 (세천호희) 일 총리의 19일 중국 방문을 앞두고 북경에서 1만여명의 중국인이 참가 하+ㄹ대대적 이+ㄴ 반일시위가 계획되+어 있다고 중국의 대일전쟁 배상위원회 회원들이 17일 밝히었다 .	PER-B PER-B O O O ORG-B O O LOC-B O ORG-B O O O O O O ORG-B ORG-B O O O O O
정당 지지율 역시 △새누리당 39% △더민주당 21% △국민의당 14% △정의당 5%로 일부 여당 지지자들이 국민의당에 비례대표 투표를 하+ㄹ 가능성도 있는 것으로 분석되+ㄴ다 .	O O O ORG-B O ORG-B O ORG-B O ORG-B O O O O ORG-B O O O O O O O O
이충호'도둑질' 논란, '킬미 힐미'는 "'하이드 지키+ㄹ, 나' 첫 방송날 왜? .	PER-B O O O O O O O O O O
열세 살 소녀의 모험을 그리 +ㄴ 내용이다 .	O O O O O O O O
