바비킴 입국, 만취 상태기 내 난동… ‘한 달여 만에 입열 +ㄴ다 .	PER-B O O O O O O O O O O O
군은 이날 오후 4시 경북한의 포 공격이 있었던 부대에 먼저 ‘진돗개 하나’를 발령하+ㄴ 뒤 오후 5시40분경 전군으로 확대하였다 .	O O O O ORG-B O O O O O O O O O O O O O O
재편되는 세계 질서 속에서 남북한의 통일은 불가피 하+ㄴ 것이고 어떤 과정을 거치든 평화적 방법을 통하+ㄹ 수밖에 없다 .	O O O O ORG-B O O O O O O O O O O O O O
그래서 12월에 결산하는 기업은 3월에 정기 주총을 열지요 .	O O O O O O O O O
미국 프로야구에서 활동하고 있는 강정호(피츠버그 파이리츠)와 추신수(텍사스 레인저스), 박병호(미네소타트윈스)가 메이저리그올스타 투표 후보에 이름을 올리었다 .	ORG-B O O O ORG-B O ORG-B O ORG-B O O O O O O
메이저리그 공식 홈페이지 MLB 닷컴은 오는 6월 13일 미국 캘리포니아주 샌디에이고의 펫코파크에서 열리는 제87회 올스타전에 출전하+ㄹ 선수 후보 명단을 공개하였다 .	O O O O O O O O LOC-B O O LOC-B O O O O O O O O O
강정호는 내셔널리그 3루수올스타 후보, 추신수는 아메리칸리그 외 야수올스타 후보, 박병호는 아메리칸리그 지명 타자 올스타 후보에 오르았다 .	PER-B O O O PER-B O O O O PER-B O O O O O O O
팀마다 포지션별로 1명까지만 후보에 오르+ㄹ 수 있는 올스타는 오는 7월 1일까지 MLB 닷컴과 30개 구단 홈페이지 온라인 팬 투표로 선발하+ㄴ다 .	O O O O O O O O O O O ORG-B O O O O O O O O O
한 예로 「별이 빛나는 밤에 」에서 +ㄴ 신세대의 행태를 비판하면서 「머리에 피도안 마르+ㄴ… 버릇없는 것+이죠 」운운하+ㄴ 것, 「FM 인기가요」의 경우 「니맘대로 하세요 」「목소리가 나긋나긋하네요 」+이라는 등 방송에 부적합 하+ㄴ 표현들이 적지 않다는 분석 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이태임은 4일 오후 한 매체와의 전화 인터뷰에서 “‘띠과외(띠동 갑과외하기)’ 녹화 때 바다에서 나와 너무 춥어서 샤워를 하고 나오았는데 그 친구(예원)가 ‘뭐’라고 반말을 하더라”며 “너무 화가나 +아서 참고 참았던 것+이 폭발하+여서 나도 모르게 욕이 나오았다”고 논란에 대하+여 해명하였다 .	PER-B O O O O O O O O O O O O O O O O O O PER-B O O O O O O O O O O O O O O O O O O
이어 이태임 측은 “당시 녹화 현장에서 여러 가지 상황이 너무 기분이 나쁘았다 .	O PER-B O O O O O O O O O O O
게임에는 3대륙 10개 맵으로 구성되 +ㄴ모험모드, 다양하+ㄴ 이벤트 보상을 받을 수 있는 던전, 다른 이용자와 대결을 펼치는 PvP 콘텐츠 이+ㄴ 스타몬리그, 전투의 한계를 시험하고, 다양하+ㄴ 보상을 제공하는 혼돈의 탑 등 다양하+ㄴ 콘텐츠가 구비되었다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
‘베나치오’는 이경규 효과 덕분이 +ㄴ 지 지난해 한해 판매량 1000만병을 돌파하였다 .	O PER-B O O O O O O O O O O
